Time,ADC_Value,Offset
0.0,19.2,0.0032
0.07107457343269796,28.776,0.0041
0.14214914686539593,38.376,0.0052
0.2132237202980939,47.97599999999999,0.0062
0.28429829373079185,57.57599999999999,0.0072
0.3553728671634898,67.152,0.0084
0.4264474405961878,76.752,0.0093
0.49752201402888574,86.35199999999999,0.0103
0.5685965874615837,95.95199999999998,0.0115
0.6396711608942817,105.55199999999999,0.0126
0.7107457343269796,115.128,0.0134
0.7818203077596776,124.728,0.0146
0.8528948811923756,134.328,0.0156
0.9239694546250735,143.928,0.0169
0.9950440280577715,153.504,0.0178
1.0661186014904693,163.10399999999998,0.0189
1.1371931749231674,172.70399999999998,0.02
1.2082677483558655,182.30399999999997,0.0207
1.2793423217885633,191.90399999999997,0.0221
1.3504168952212612,182.30399999999997,0.0229
1.4214914686539593,172.70399999999998,0.022
1.4925660420866573,163.10399999999998,0.021
1.5636406155193552,153.504,0.0199
1.634715188952053,143.928,0.0187
1.705789762384751,134.328,0.0178
1.7768643358174492,124.728,0.0166
1.847938909250147,115.128,0.0157
1.9190134826828449,105.55199999999999,0.0145
1.990088056115543,95.95199999999998,0.0135
2.061162629548241,86.35199999999999,0.0126
2.1322372029809387,76.752,0.0114
2.2033117764136367,67.152,0.0105
2.274386349846335,57.57599999999999,0.0093
2.345460923279033,47.97599999999999,0.0083
2.416535496711731,38.376,0.0074
2.4876100701444286,28.776,0.0062
2.5586846435771267,19.2,0.0054
2.6297592170098247,9.6,0.0042
2.7008337904425224,0.0,0.0033
2.7719083638752204,9.6,0.0022
2.8429829373079185,19.2,0.0032
2.9140575107406166,28.776,0.0042
2.9851320841733147,38.376,0.0052
3.0562066576060123,47.97599999999999,0.0062
3.1272812310387104,57.57599999999999,0.0072
3.1983558044714084,67.152,0.0084
3.269430377904106,76.752,0.0094
3.340504951336804,86.35199999999999,0.0105
3.411579524769502,95.95199999999998,0.0116
3.4826540982022003,105.55199999999999,0.0126
3.5537286716348984,115.128,0.0137
3.624803245067596,124.728,0.0146
3.695877818500294,134.328,0.0157
3.766952391932992,143.928,0.0167
3.8380269653656898,153.504,0.0177
3.909101538798388,163.10399999999998,0.0188
3.980176112231086,172.70399999999998,0.0202
4.051250685663784,182.30399999999997,0.0209
4.122325259096482,191.90399999999997,0.0221
4.19339983252918,182.30399999999997,0.0229
4.264474405961877,172.70399999999998,0.022
4.335548979394575,163.10399999999998,0.0209
4.4066235528272735,153.504,0.0199
4.4776981262599715,143.928,0.0187
4.54877269969267,134.328,0.0177
4.619847273125368,124.728,0.0166
4.690921846558066,115.128,0.0157
4.761996419990764,105.55199999999999,0.0147
4.833070993423462,95.95199999999998,0.0138
4.904145566856159,86.35199999999999,0.0125
4.975220140288857,76.752,0.0113
5.046294713721555,67.152,0.0106
5.117369287154253,57.57599999999999,0.0094
5.188443860586951,47.97599999999999,0.0084
5.2595184340196495,38.376,0.0073
5.3305930074523475,28.776,0.0062
5.401667580885045,19.2,0.0052
