Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV),Channel 1 (mA)
5.752,-0.000162966,322.3866,813.9861522,-0.000162966
5.802,-0.000162966,325.3674,833.8747602,-0.000162966
5.852,1.48E-05,345.2394,847.7967858,1.48E-05
5.902,-0.000162966,343.2522,849.7856466,-0.000162966
5.952,0.000192606,356.169,863.7076722,0.000192606
6.002,-0.000162966,353.1882,861.7188114,-0.000162966
6.052,1.48E-05,370.0794,879.6185586,1.48E-05
6.102,1.48E-05,368.0922,877.6296978,1.48E-05
6.152,1.48E-05,380.0154,891.5517234,1.48E-05
6.202,0.000192606,380.0154,889.5628626,0.000192606
6.252,1.48E-05,396.9066,909.4514706,1.48E-05
6.302,-0.000340752,410.817,927.3512178,-0.000340752
6.352,1.48E-05,412.8042,925.362357,1.48E-05
6.402,-0.000162966,426.7146,939.2843826,-0.000162966
6.452,1.48E-05,427.7082,939.2843826,1.48E-05
6.502,-0.000340752,442.6122,957.1841298,-0.000340752
6.552,1.48E-05,442.6122,959.1729906,1.48E-05
6.602,0.000548178,457.5162,969.1172946,0.000548178
6.652,-0.000340752,457.5162,971.1061554,-0.000340752
6.702,0.000370392,475.401,995.751273,0.000370392
6.752,1.48E-05,488.3178,1011.081244,1.48E-05
6.802,-0.000162966,488.3178,1012.997491,-0.000162966
6.852,1.48E-05,504.2154,1026.411215,1.48E-05
6.902,0.000192606,504.2154,1026.411215,0.000192606
6.952,1.48E-05,519.1194,1039.82494,1.48E-05
7.002,-0.000162966,519.1194,1041.741187,-0.000162966
7.052,-0.000162966,534.0234,1055.154911,-0.000162966
7.102,-0.000340752,535.017,1058.987404,-0.000340752
7.152,1.48E-05,549.921,1072.401129,1.48E-05
7.202,-0.000340752,565.8186,1087.7311,-0.000340752
7.252,1.48E-05,565.8186,1087.7311,1.48E-05
7.302,-0.000162966,580.7226,1101.144825,-0.000162966
7.352,-0.000162966,580.7226,1103.061071,-0.000162966
7.403,-0.000162966,596.6202,1118.391043,-0.000162966
7.452,-0.000162966,596.6202,1118.391043,-0.000162966
7.503,-0.000162966,610.5306,1133.721014,-0.000162966
7.553,-0.000340752,610.5306,1133.721014,-0.000340752
7.603,-0.000340752,625.4346,1149.050985,-0.000340752
7.653,-0.000162966,639.345,1162.46471,-0.000162966
7.702,-0.000162966,639.345,1160.548463,-0.000162966
7.753,-0.000518538,655.2426,1177.794681,-0.000518538
7.802,-0.000340752,655.2426,1175.878435,-0.000340752
7.853,-0.000162966,669.153,1193.124652,-0.000162966
7.903,-0.000162966,669.153,1195.040899,-0.000162966
7.953,-0.000340752,683.0634,1210.37087,-0.000340752
8.003,-0.000518538,681.0762,1206.538377,-0.000518538
8.053,1.48E-05,695.9802,1221.868348,1.48E-05
8.103,1.48E-05,711.8778,1239.114566,1.48E-05
8.153,-0.000162966,711.8778,1241.030812,-0.000162966
8.203,-0.000340752,709.8906,1237.198319,-0.000340752
8.253,1.48E-05,722.8074,1254.444537,1.48E-05
