Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV),Channel 1 (mA)
1.232,-0.000340752,295.5594,4.5198066,-0.000340752
1.242,-0.000340752,297.5466,10.486389,-0.000340752
1.252,1.48E-05,298.5402,8.4975282,1.48E-05
1.279,1.48E-05,297.5466,8.4975282,1.48E-05
1.289,-0.000340752,298.5402,8.4975282,-0.000340752
1.299,-0.000162966,297.5466,8.4975282,-0.000162966
1.308,-0.000162966,297.5466,6.5086674,-0.000162966
1.318,-0.000696324,294.5658,8.4975282,-0.000696324
1.328,-0.000162966,297.5466,24.4084146,-0.000162966
1.337,-0.000340752,298.5402,26.3972754,-0.000340752
1.369,-0.000162966,299.5338,26.3972754,-0.000162966
1.415,-0.000340752,296.553,20.430693,-0.000340752
1.424,-0.000162966,297.5466,24.4084146,-0.000162966
1.434,1.48E-05,297.5466,22.4195538,1.48E-05
1.443,1.48E-05,300.5274,24.4084146,1.48E-05
1.453,-0.000340752,295.5594,22.4195538,-0.000340752
1.472,-0.000340752,299.5338,38.3304402,-0.000340752
1.505,-0.000162966,293.5722,34.3527186,-0.000162966
1.514,0.000192606,300.5274,36.3415794,0.000192606
1.524,0.000192606,299.5338,36.3415794,0.000192606
1.533,1.48E-05,301.521,38.3304402,1.48E-05
1.543,-0.000162966,294.5658,34.3527186,-0.000162966
1.562,1.48E-05,298.5402,52.2524658,1.48E-05
1.572,1.48E-05,299.5338,54.2413266,1.48E-05
1.595,-0.000162966,295.5594,52.2524658,-0.000162966
1.604,-0.000162966,299.5338,54.2413266,-0.000162966
1.614,-0.000340752,298.5402,54.2413266,-0.000340752
1.633,1.48E-05,299.5338,54.2413266,1.48E-05
1.652,-0.000340752,298.5402,68.1633522,-0.000340752
1.662,-0.000340752,300.5274,68.1633522,-0.000340752
1.672,1.48E-05,299.5338,66.1744914,1.48E-05
1.685,1.48E-05,294.5658,66.1744914,1.48E-05
1.694,1.48E-05,299.5338,68.1633522,1.48E-05
1.704,-0.000162966,298.5402,68.1633522,-0.000162966
1.723,-0.000340752,298.5402,66.1744914,-0.000340752
1.743,1.48E-05,298.5402,84.0742386,1.48E-05
1.753,1.48E-05,300.5274,84.0742386,1.48E-05
1.763,0.000192606,300.5274,84.0742386,0.000192606
1.775,-0.000162966,297.5466,82.0853778,-0.000162966
1.784,1.48E-05,298.5402,86.0630994,1.48E-05
1.794,-0.000162966,298.5402,84.0742386,-0.000162966
1.813,1.48E-05,296.553,78.1076562,1.48E-05
1.823,1.48E-05,300.5274,97.9962642,1.48E-05
1.833,1.48E-05,299.5338,97.9962642,1.48E-05
1.843,-0.000340752,297.5466,99.985125,-0.000340752
1.865,-0.000162966,294.5658,96.0074034,-0.000162966
1.874,-0.000162966,299.5338,99.985125,-0.000162966
1.884,-0.000162966,298.5402,97.9962642,-0.000162966
1.903,-0.000162966,297.5466,97.9962642,-0.000162966
1.913,-0.000162966,298.5402,113.9071506,-0.000162966
1.923,-0.000162966,300.5274,111.9182898,-0.000162966
1.933,-0.000162966,303.5082,113.9071506,-0.000162966
1.955,-0.000340752,306.489,111.9182898,-0.000340752
1.964,1.48E-05,311.457,111.9182898,1.48E-05
1.983,-0.000162966,312.4506,111.9182898,-0.000162966
1.993,-0.000340752,314.4378,111.9182898,-0.000340752
2.003,-0.000162966,327.3546,127.8291762,-0.000162966
2.013,-0.000162966,330.3354,127.8291762,-0.000162966
2.023,1.48E-05,330.3354,125.8403154,1.48E-05
2.045,-0.000162966,329.3418,123.8514546,-0.000162966
2.054,1.48E-05,332.3226,127.8291762,1.48E-05
2.073,1.48E-05,333.3162,125.8403154,1.48E-05
2.083,-0.000162966,334.3098,127.8291762,-0.000162966
2.093,1.48E-05,349.2138,141.7512018,1.48E-05
2.103,1.48E-05,349.2138,143.7400626,1.48E-05
2.113,1.48E-05,351.201,143.7400626,1.48E-05
2.135,-0.000162966,348.2202,141.7512018,-0.000162966
2.144,-0.000162966,352.1946,143.7400626,-0.000162966
2.163,-0.000162966,352.1946,143.7400626,-0.000162966
2.173,-0.000162966,351.201,141.7512018,-0.000162966
2.183,-0.000340752,367.0986,159.650949,-0.000340752
2.193,-0.000162966,366.105,159.650949,-0.000162966
2.203,-0.000162966,367.0986,157.6620882,-0.000162966
2.225,-0.000162966,365.1114,155.6732274,-0.000162966
2.234,0.000192606,367.0986,157.6620882,0.000192606
2.253,1.48E-05,367.0986,159.650949,1.48E-05
2.264,-0.000162966,366.105,155.6732274,-0.000162966
2.274,1.48E-05,381.009,173.5729746,1.48E-05
2.283,-0.000162966,381.009,173.5729746,-0.000162966
2.293,1.48E-05,381.009,173.5729746,1.48E-05
2.315,1.48E-05,379.0218,171.5841138,1.48E-05
2.333,1.48E-05,381.009,171.5841138,1.48E-05
2.343,1.48E-05,382.0026,171.5841138,1.48E-05
2.354,-0.000162966,379.0218,173.5729746,-0.000162966
2.364,-0.000162966,394.9194,189.483861,-0.000162966
2.374,1.48E-05,393.9258,187.4950002,1.48E-05
2.384,-0.000162966,395.913,189.483861,-0.000162966
2.405,-0.000162966,390.945,185.5061394,-0.000162966
2.424,0.000192606,393.9258,187.4950002,0.000192606
2.434,0.000192606,393.9258,185.5061394,0.000192606
2.444,-0.000162966,391.9386,187.4950002,-0.000162966
2.454,-0.000162966,405.849,203.4058866,-0.000162966
2.464,1.48E-05,406.8426,203.4058866,1.48E-05
2.474,-0.000340752,404.8554,203.4058866,-0.000340752
2.495,0.000192606,401.8746,199.428165,0.000192606
2.514,1.48E-05,404.8554,203.4058866,1.48E-05
2.524,-0.000162966,403.8618,203.4058866,-0.000162966
2.534,-0.000340752,401.8746,201.4170258,-0.000340752
2.544,-0.000162966,414.7914,219.316773,-0.000162966
2.554,1.48E-05,414.7914,217.3279122,1.48E-05
2.564,1.48E-05,414.7914,215.3390514,1.48E-05
2.585,-0.000162966,411.8106,217.3279122,-0.000162966
2.604,-0.000162966,412.8042,219.316773,-0.000162966
2.614,-0.000162966,410.817,217.3279122,-0.000162966
2.624,-0.000162966,408.8298,217.3279122,-0.000162966
2.634,-0.000162966,422.7402,235.2276594,-0.000162966
2.644,-0.000162966,421.7466,233.2387986,-0.000162966
2.654,0.000192606,420.753,231.2499378,0.000192606
2.675,-0.000340752,416.7786,231.2499378,-0.000340752
2.684,1.48E-05,418.7658,233.2387986,1.48E-05
2.694,1.48E-05,415.785,233.2387986,1.48E-05
2.704,-0.000162966,415.785,233.2387986,-0.000162966
