Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV),
4359000,-0.000340752,368.0922,14.4641106,34000
4393000,-0.000162966,369.0858,16.4529714,33000
4426000,1.48E-05,372.0666,14.4641106,34000
4460000,0.000192606,372.0666,14.4641106,34000
4494000,1.48E-05,369.0858,12.4752498,33000
4527000,-0.000162966,373.0602,14.4641106,34000
4561000,1.48E-05,373.0602,14.4641106,33000
4594000,-0.000340752,372.0666,14.4641106,34000
4628000,-0.000340752,374.0538,12.4752498,33000
4661000,1.48E-05,375.0474,14.4641106,34000
4695000,0.000192606,373.0602,16.4529714,33000
4728000,1.48E-05,375.0474,14.4641106,34000
4762000,1.48E-05,377.0346,14.4641106,33000
4795000,-0.000162966,375.0474,12.4752498,34000
4829000,-0.000162966,377.0346,16.4529714,33000
4862000,-0.000340752,379.0218,14.4641106,34000
4896000,0.000370392,377.0346,12.4752498,33000
4929000,-0.000340752,379.0218,12.4752498,34000
4963000,-0.000162966,382.0026,10.486389,34000
4997000,0.000192606,380.0154,12.4752498,33000
5030000,-0.000340752,380.0154,14.4641106,34000
5064000,0.000192606,382.9962,14.4641106,33000
5097000,0.000192606,381.009,14.4641106,34000
5131000,1.48E-05,381.009,14.4641106,33000
5164000,-0.000162966,383.9898,12.4752498,34000
5198000,1.48E-05,383.9898,16.4529714,33000
5231000,1.48E-05,384.9834,12.4752498,34000
5265000,0.000192606,385.977,14.4641106,33000
5298000,1.48E-05,384.9834,14.4641106,34000
5332000,1.48E-05,383.9898,16.4529714,33000
5365000,-0.000340752,386.9706,16.4529714,34000
5399000,0.000192606,386.9706,14.4641106,33000
5432000,-0.000340752,385.977,16.4529714,34000
5466000,1.48E-05,387.9642,14.4641106,33000
5499000,-0.000162966,387.9642,16.4529714,34000
5533000,-0.000162966,387.9642,16.4529714,34000
5567000,-0.000162966,390.945,14.4641106,33000
5600000,0.000370392,390.945,12.4752498,34000
5634000,1.48E-05,389.9514,14.4641106,33000
5667000,-0.000162966,390.945,14.4641106,34000
5701000,0.000192606,390.945,16.4529714,33000
5734000,0.000192606,390.945,14.4641106,34000
5768000,1.48E-05,391.9386,14.4641106,33000
5801000,-0.000518538,395.913,14.4641106,34000
5835000,1.48E-05,391.9386,14.4641106,33000
5868000,0.000192606,393.9258,12.4752498,34000
5902000,-0.000162966,396.9066,14.4641106,33000
5935000,0.000192606,394.9194,14.4641106,34000
5969000,-0.000162966,394.9194,16.4529714,33000
6002000,-0.000162966,397.9002,14.4641106,34000
6036000,1.48E-05,396.9066,14.4641106,34000
6070000,1.48E-05,395.913,16.4529714,33000
6103000,0.000192606,397.9002,14.4641106,34000
6137000,-0.000162966,397.9002,14.4641106,33000
6170000,0.000370392,396.9066,14.4641106,34000
6204000,1.48E-05,399.8874,18.4418322,33000
6237000,-0.000518538,399.8874,14.4641106,34000
6271000,-0.000340752,398.8938,16.4529714,33000
6304000,1.48E-05,399.8874,20.430693,34000
6338000,1.48E-05,401.8746,14.4641106,33000
6371000,1.48E-05,399.8874,12.4752498,34000
6405000,-0.000340752,402.8682,14.4641106,33000
6438000,0.000192606,401.8746,18.4418322,34000
6472000,-0.000162966,401.8746,14.4641106,33000
6505000,1.48E-05,403.8618,14.4641106,34000
6539000,1.48E-05,403.8618,16.4529714,34000
6573000,-0.000162966,401.8746,16.4529714,33000
6606000,-0.000340752,405.849,18.4418322,34000
6640000,1.48E-05,405.849,14.4641106,33000
6673000,-0.000162966,403.8618,12.4752498,34000
6707000,-0.000162966,405.849,16.4529714,33000
6740000,1.48E-05,407.8362,14.4641106,34000
6774000,-0.000162966,404.8554,12.4752498,33000
6807000,1.48E-05,407.8362,14.4641106,34000
6841000,1.48E-05,406.8426,16.4529714,33000
6874000,-0.000340752,404.8554,14.4641106,34000
6908000,-0.000340752,407.8362,14.4641106,33000
6941000,-0.000162966,409.8234,16.4529714,34000
6975000,-0.000162966,407.8362,16.4529714,33000
7008000,-0.000162966,407.8362,14.4641106,34000
7042000,1.48E-05,410.817,16.4529714,33000
7075000,1.48E-05,408.8298,14.4641106,34000
7109000,1.48E-05,408.8298,14.4641106,34000
7143000,-0.000162966,411.8106,18.4418322,33000
7176000,-0.000162966,410.817,14.4641106,34000
7210000,-0.000340752,410.817,16.4529714,33000
7243000,-0.000340752,413.7978,14.4641106,34000
7277000,-0.000340752,412.8042,16.4529714,33000
7310000,1.48E-05,411.8106,16.4529714,34000
7344000,1.48E-05,412.8042,14.4641106,33000
7377000,-0.000162966,412.8042,14.4641106,34000
7411000,-0.000162966,411.8106,12.4752498,33000
7444000,1.48E-05,413.7978,12.4752498,34000
7478000,1.48E-05,413.7978,12.4752498,33000
7511000,-0.000162966,412.8042,14.4641106,34000
7545000,-0.000162966,415.785,14.4641106,33000
7578000,1.48E-05,415.785,16.4529714,34000
7612000,1.48E-05,413.7978,14.4641106,33000
7645000,1.48E-05,415.785,12.4752498,34000
7679000,1.48E-05,415.785,16.4529714,33000
7712000,-0.000162966,413.7978,14.4641106,34000
7746000,-0.000340752,417.7722,20.430693,33000
7779000,-0.000340752,417.7722,12.4752498,34000
7813000,1.48E-05,416.7786,12.4752498,33000
7846000,1.48E-05,417.7722,16.4529714,34000
7880000,-0.000162966,419.7594,18.4418322,34000
7914000,-0.000162966,416.7786,16.4529714,33000
7947000,-0.000162966,418.7658,12.4752498,34000
7981000,-0.000340752,420.753,16.4529714,33000
8014000,1.48E-05,418.7658,14.4641106,34000
8048000,1.48E-05,418.7658,18.4418322,33000
8081000,1.48E-05,421.7466,18.4418322,34000
8115000,-0.000340752,418.7658,16.4529714,33000
8148000,-0.000162966,418.7658,18.4418322,34000
8182000,-0.000340752,421.7466,16.4529714,33000
8215000,-0.000162966,421.7466,10.486389,34000
8249000,-0.000340752,420.753,14.4641106,33000
8282000,1.48E-05,423.7338,18.4418322,34000
8316000,1.48E-05,421.7466,14.4641106,33000
8349000,1.48E-05,421.7466,14.4641106,34000
8383000,-0.000162966,423.7338,14.4641106,34000
8417000,-0.000162966,424.7274,16.4529714,33000
8450000,-0.000340752,422.7402,16.4529714,34000
8484000,-0.000162966,423.7338,10.486389,33000
8517000,0.000192606,424.7274,16.4529714,34000
8551000,1.48E-05,422.7402,14.4641106,33000
8584000,-0.000340752,423.7338,14.4641106,34000
8618000,1.48E-05,426.7146,12.4752498,33000
8651000,-0.000162966,422.7402,12.4752498,34000
8685000,-0.000162966,425.721,12.4752498,33000
8718000,1.48E-05,426.7146,16.4529714,34000
8752000,-0.000518538,422.7402,14.4641106,33000
8785000,1.48E-05,426.7146,18.4418322,34000
8819000,1.48E-05,427.7082,18.4418322,33000
8852000,-0.000162966,424.7274,16.4529714,34000
8886000,-0.000340752,426.7146,16.4529714,33000
8919000,1.48E-05,428.7018,14.4641106,34000
8953000,-0.000340752,426.7146,18.4418322,34000
8987000,-0.000162966,425.721,16.4529714,33000
9020000,-0.000340752,428.7018,14.4641106,34000
9054000,1.48E-05,426.7146,14.4641106,33000
9087000,1.48E-05,427.7082,18.4418322,34000
9121000,-0.000162966,429.6954,14.4641106,33000
9154000,-0.000162966,427.7082,14.4641106,34000
9188000,1.48E-05,428.7018,12.4752498,33000
9221000,1.48E-05,431.6826,14.4641106,34000
9255000,-0.000162966,428.7018,18.4418322,33000
9288000,-0.000162966,428.7018,18.4418322,34000
9322000,-0.000162966,431.6826,16.4529714,33000
9355000,-0.000340752,429.6954,14.4641106,34000
9389000,-0.000340752,427.7082,14.4641106,33000
9422000,1.48E-05,432.6762,16.4529714,34000
9456000,1.48E-05,431.6826,16.4529714,34000
9490000,-0.000162966,428.7018,14.4641106,33000
9523000,-0.000162966,431.6826,14.4641106,34000
9557000,-0.000162966,432.6762,18.4418322,33000
9590000,-0.000162966,429.6954,18.4418322,34000
