Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV)
0.006706999993184581,-0.0010518960000000105,331.329,-126.7450061999998
0.051701099990168586,-0.0006963239999999982,331.329,-128.73386699999992
0.14196500001708046,-0.0008741100000000113,332.32259999999997,-126.7450061999998
0.18682010000338778,-0.00016296600000001438,330.3354,-128.73386699999992
0.2321183000167366,-0.0010518960000000105,332.32259999999997,-126.7450061999998
0.2769805999996606,-0.0008741100000000113,331.329,-126.7450061999998
0.32201470001018606,-0.0006963239999999982,334.3098,-126.7450061999998
0.3667075000121258,-0.0008741100000000113,333.3162,-124.75614539999992
0.4118826999911107,-0.0010518960000000105,332.32259999999997,-130.72272780000003
0.4569511000008788,-0.0010518960000000105,335.3034,-126.7450061999998
0.504056000005221,-0.0006963239999999982,334.3098,-126.7450061999998
0.592026900005294,-0.0008741100000000113,333.3162,-126.7450061999998
0.637090200005332,-0.0010518960000000105,331.329,-126.7450061999998
0.682018399995286,-0.0008741100000000113,331.329,-124.75614539999992
0.7267330999893602,-0.0008741100000000113,332.32259999999997,-126.7450061999998
0.772434999991674,-0.0010518960000000105,332.32259999999997,-128.73386699999992
0.8169562999974005,-0.0012296820000000236,331.329,-126.7450061999998
0.8616484999947716,-0.0008741100000000113,331.329,-126.7450061999998
0.9066374000103679,-0.0010518960000000105,334.3098,-128.73386699999992
0.95178709999891,-0.0008741100000000113,332.32259999999997,-126.7450061999998
1.0426752000057604,-0.0006963239999999982,332.32259999999997,-124.75614539999992
1.0869740000052843,-0.0008741100000000113,332.32259999999997,-126.7450061999998
1.1317696000041906,-0.0006963239999999982,332.32259999999997,-128.73386699999992
1.1769484000105876,-0.00016296600000001438,326.361,-126.7450061999998
1.2218697000062093,-0.0008741100000000113,330.3354,-126.7450061999998
1.2669681000115816,-0.0010518960000000105,333.3162,-128.73386699999992
1.3121888000168838,-0.0006963239999999982,331.329,-126.7450061999998
1.3570534999889787,-0.0010518960000000105,333.3162,-124.75614539999992
1.4018364000075962,-0.0008741100000000113,331.329,-126.7450061999998
1.4923699999926612,-0.0010518960000000105,333.3162,-126.7450061999998
1.5369924000115134,-0.0008741100000000113,333.3162,-126.7450061999998
1.5816536000056658,-0.0008741100000000113,329.3418,-124.75614539999992
1.626934900006745,-0.0006963239999999982,329.3418,-124.75614539999992
1.671800300013274,-0.0008741100000000113,333.3162,-124.75614539999992
1.7169683999964036,-0.0006963239999999982,335.3034,-128.73386699999992
1.7619169999961741,-0.0010518960000000105,333.3162,-124.75614539999992
1.806950300000608,-0.0008741100000000113,333.3162,-126.7450061999998
1.8520179000042845,-0.0008741100000000113,334.3098,-124.75614539999992
1.94239209999796,-0.0006963239999999982,333.3162,-124.75614539999992
1.9867173999955412,-0.0008741100000000113,334.3098,-128.73386699999992
2.0319786999898497,-0.0006963239999999982,332.32259999999997,-126.7450061999998
2.077505699999165,-0.0008741100000000113,334.3098,-126.7450061999998
2.121758499997668,-0.0008741100000000113,332.32259999999997,-126.7450061999998
2.1669454000075348,-0.0003407520000000136,328.34819999999996,-126.7450061999998
2.211937799991574,-0.0008741100000000113,333.3162,-128.73386699999992
2.256993399991188,-0.0008741100000000113,333.3162,-126.7450061999998
2.301831899996614,-0.0008741100000000113,333.3162,-126.7450061999998
2.3923128000169527,-0.0005185379999999989,334.3098,-126.7450061999998
2.43667799999821,-0.0008741100000000113,334.3098,-124.75614539999992
2.4819406000024173,-0.0006963239999999982,330.3354,-126.7450061999998
2.5271907999995165,-0.0008741100000000113,330.3354,-124.75614539999992
2.5720094999996945,-0.0012296820000000236,330.3354,-128.73386699999992
2.617016700009117,-0.0008741100000000113,334.3098,-124.75614539999992
2.6617855000076815,-0.0006963239999999982,333.3162,-126.7450061999998
2.7069891999999527,-0.0008741100000000113,333.3162,-124.75614539999992
2.7518092000100296,-0.0010518960000000105,332.32259999999997,-126.7450061999998
2.842596800008323,-0.0010518960000000105,330.3354,-126.7450061999998
2.8869616000156384,-0.0010518960000000105,335.3034,-126.7450061999998
2.9316615000134334,-0.0010518960000000105,331.329,-126.7450061999998
2.9768390000099316,-0.0006963239999999982,329.3418,-126.7450061999998
3.0217441999993753,-0.0008741100000000113,334.3098,-126.7450061999998
3.0677965999930166,-0.0006963239999999982,332.32259999999997,-124.75614539999992
3.1120904000126757,-0.0008741100000000113,335.3034,-126.7450061999998
3.156721200008178,-0.0003407520000000136,327.3546,-124.75614539999992
3.2017533000034746,-0.0008741100000000113,333.3162,-124.75614539999992
3.294897799991304,-0.0010518960000000105,333.3162,-126.7450061999998
3.337101899989648,-0.0010518960000000105,331.329,-128.73386699999992
3.382017399999313,-0.0010518960000000105,333.3162,-124.75614539999992
3.4269642000144813,-0.0010518960000000105,331.329,-126.7450061999998
3.4720224000047892,-0.0010518960000000105,333.3162,-124.75614539999992
3.517239700013306,-0.0010518960000000105,332.32259999999997,-124.75614539999992
3.5619103999924846,-0.0008741100000000113,333.3162,-126.7450061999998
3.607076100015547,-0.0010518960000000105,333.3162,-126.7450061999998
3.651972499996191,-0.0010518960000000105,333.3162,-124.75614539999992
3.7422531000047456,-0.0010518960000000105,331.329,-124.75614539999992
3.7870130999945104,-0.0010518960000000105,332.32259999999997,-124.75614539999992
3.8335705999925267,-0.0010518960000000105,330.3354,-126.7450061999998
3.8770564000005834,-0.0006963239999999982,331.329,-122.76728460000004
3.9219522000057623,-0.0008741100000000113,333.3162,-126.7450061999998
3.9666757000086363,-0.0010518960000000105,333.3162,-124.75614539999992
4.011780500004534,-0.0006963239999999982,335.3034,-124.75614539999992
4.057015800004592,-0.0010518960000000105,332.32259999999997,-122.76728460000004
4.101742099999683,-0.0006963239999999982,333.3162,-122.76728460000004
4.192549700004747,-0.00016296600000001438,329.3418,-124.75614539999992
4.2368855999957304,-0.0010518960000000105,331.329,-128.73386699999992
4.282143799995538,-0.0005185379999999989,332.32259999999997,-126.7450061999998
4.327038799994625,-0.0010518960000000105,330.3354,-128.73386699999992
4.372414600016782,-0.0010518960000000105,331.329,-126.7450061999998
4.41702280001482,-0.0008741100000000113,331.329,-126.7450061999998
4.461757100012619,-0.0008741100000000113,333.3162,-122.76728460000004
4.507297900010599,-0.0010518960000000105,336.29699999999997,-124.75614539999992
4.552009000006365,-0.0010518960000000105,334.3098,-124.75614539999992
4.642040200007614,-0.0008741100000000113,331.329,-124.75614539999992
4.687076600006549,-0.0006963239999999982,332.32259999999997,-124.75614539999992
4.731752099993173,-0.0008741100000000113,331.329,-122.76728460000004
4.776757599989651,-0.0010518960000000105,332.32259999999997,-124.75614539999992
4.822141999989981,-0.0010518960000000105,333.3162,-122.76728460000004
4.866721200000029,-0.0012296820000000236,331.329,-124.75614539999992
4.9119248999923,-0.0008741100000000113,334.3098,-124.75614539999992
4.956932100001723,-0.0008741100000000113,333.3162,-126.7450061999998
5.0019165000121575,-0.0006963239999999982,331.329,-124.75614539999992
5.0922704999975394,-0.0008741100000000113,334.3098,-126.7450061999998
