Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV),Channel 1 (mA)
5.102,0.022415856,324.3738,312.7932306,0.022415856
5.152,0.023838144,326.361,318.759813,0.023838144
5.202,0.02401593,324.3738,320.7486738,0.02401593
5.252,0.02490486,324.3738,328.704117,0.02490486
5.302,0.025438218,325.3674,330.6929778,0.025438218
5.352,0.026327148,323.3802,334.6706994,0.026327148
5.402,0.026327148,324.3738,338.648421,0.026327148
5.452,0.02757165,323.3802,342.6261426,0.02757165
5.502,0.028638366,323.3802,350.5815858,0.028638366
5.552,0.029527296,325.3674,350.5815858,0.029527296
5.602,0.030771798,324.3738,356.5481682,0.030771798
5.652,0.03112737,324.3738,356.5481682,0.03112737
5.702,0.032194086,323.3802,368.481333,0.032194086
5.752,0.032727444,323.3802,362.5147506,0.032727444
5.802,0.033438588,322.3866,372.4590546,0.033438588
5.852,0.033438588,323.3802,372.4590546,0.033438588
5.902,0.035038662,324.3738,380.4144978,0.035038662
5.952,0.035927592,323.3802,390.3588018,0.035927592
6.002,0.036816522,325.3674,388.369941,0.036816522
6.052,0.037705452,323.3802,396.3253842,0.037705452
6.102,0.037705452,325.3674,398.314245,0.037705452
6.152,0.038772168,323.3802,404.2808274,0.038772168
6.202,0.039305526,324.3738,404.2808274,0.039305526
6.252,0.04001667,324.3738,412.2362706,0.04001667
6.302,0.040194456,321.393,410.2474098,0.040194456
6.352,0.039838884,325.3674,410.2474098,0.039838884
6.402,0.040727814,325.3674,420.1917138,0.040727814
6.452,0.042150102,325.3674,428.147157,0.042150102
6.502,0.042150102,325.3674,426.1582962,0.042150102
6.552,0.042861246,325.3674,434.1137394,0.042861246
6.602,0.042861246,325.3674,436.1026002,0.042861246
6.652,0.04357239,322.3866,444.0580434,0.04357239
6.702,0.04357239,324.3738,440.0803218,0.04357239
6.752,0.044283534,324.3738,446.0469042,0.044283534
6.802,0.043394604,323.3802,448.035765,0.043394604
6.852,0.044283534,325.3674,455.9912082,0.044283534
6.902,0.045172464,322.3866,463.9466514,0.045172464
6.952,0.04446132,326.361,465.9355122,0.04446132
7.002,0.044994678,323.3802,469.9132338,0.044994678
7.052,0.044639106,324.3738,469.9132338,0.044639106
7.102,0.04446132,325.3674,477.868677,0.04446132
7.152,0.043927962,323.3802,477.868677,0.043927962
7.203,0.043750176,325.3674,485.8241202,0.043750176
7.252,0.042861246,323.3802,483.8352594,0.042861246
7.302,0.042861246,322.3866,493.7795634,0.042861246
