Time,VG (mV),IDS (mA),VDS (mV)
0.0,7.0,0.0035,1569.0
0.08950498852416547,20.0,0.0035,1943.0
0.17900997704833094,35.0,0.0033,2027.0
0.26851496557249643,47.0,0.0036,2048.0
0.3580199540966619,63.0,0.0038,2071.0
0.4475249426208273,75.0,0.004,2087.0
0.5370299311449929,89.0,0.0037,2093.0
0.6265349196691583,103.0,0.0039,2100.0
0.7160399081933237,117.0,0.0046,2107.0
0.8055448967174892,131.0,0.005,2119.0
0.8950498852416546,144.0,0.0051,2128.0
0.9845548737658202,156.0,0.0054,2126.0
1.0740598622899857,171.0,0.006,2130.0
1.1635648508141512,184.0,0.0068,2140.0
1.2530698393383166,199.0,0.0076,2147.0
1.342574827862482,211.0,0.008,2151.0
1.4320798163866475,227.0,0.009,2152.0
1.521584804910813,240.0,0.0104,2158.0
1.6110897934349784,254.0,0.0116,2169.0
1.7005947819591438,267.0,0.0128,2172.0
1.7900997704833093,281.0,0.0141,2168.0
1.879604759007475,295.0,0.0159,2173.0
1.9691097475316404,309.0,0.018,2181.0
2.0586147360558056,321.0,0.02,2187.0
2.1481197245799715,334.0,0.0217,2185.0
2.237624713104137,349.0,0.0238,2186.0
2.3271297016283023,364.0,0.0267,2193.0
2.416634690152468,376.0,0.0291,2198.0
2.5061396786766332,388.0,0.0314,2203.0
2.5956446672007987,403.0,0.0339,2198.0
2.685149655724964,418.0,0.0364,2203.0
2.7746546442491296,431.0,0.0387,2209.0
2.864159632773295,444.0,0.0404,2213.0
2.9536646212974604,458.0,0.0417,2210.0
3.043169609821626,472.0,0.0427,2206.0
3.1326745983457913,487.0,0.0432,2209.0
3.2221795868699568,499.0,0.0434,2215.0
3.311684575394122,513.0,0.0426,2214.0
3.4011895639182876,526.0,0.0414,2205.0
3.490694552442453,542.0,0.0401,2203.0
3.5801995409666185,557.0,0.0386,2210.0
3.6697045294907844,568.0,0.0368,2207.0
3.75920951801495,580.0,0.0347,2202.0
3.8487145065391153,595.0,0.0333,2198.0
3.9382194950632807,608.0,0.0321,2197.0
4.027724483587446,622.0,0.0304,2202.0
4.117229472111611,634.0,0.0285,2198.0
4.206734460635777,648.0,0.0263,2190.0
4.296239449159943,664.0,0.0245,2185.0
4.385744437684108,677.0,0.0221,2190.0
4.475249426208274,691.0,0.0195,2185.0
4.564754414732439,705.0,0.0167,2175.0
4.654259403256605,720.0,0.0145,2168.0
4.74376439178077,736.0,0.0123,2162.0
4.833269380304936,747.0,0.0103,2155.0
4.922774368829101,760.0,0.0083,2144.0
5.0122793573532665,773.0,0.0071,2111.0
5.101784345877432,790.0,0.0063,2077.0
5.191289334401597,800.0,0.0056,1996.0
5.280794322925763,813.0,0.0048,1437.0
5.370299311449928,825.0,0.0042,1235.0
5.459804299974094,843.0,0.0041,1233.0
5.549309288498259,855.0,0.0039,1379.0
5.6388142770224245,868.0,0.0036,1536.0
5.72831926554659,882.0,0.0032,1551.0
5.817824254070755,898.0,0.0032,1254.0
5.907329242594921,914.0,0.0034,1290.0
5.996834231119086,924.0,0.0034,1294.0
6.086339219643252,937.0,0.0032,1199.0
6.175844208167417,953.0,0.0031,954.0
6.265349196691583,968.0,0.0034,685.0
6.354854185215748,981.0,0.0034,458.0
6.4443591737399135,990.0,0.0034,263.0
6.533864162264079,1003.0,0.003,121.0
6.623369150788244,1020.0,0.0034,58.0
6.71287413931241,1032.0,0.0035,175.0
6.802379127836575,1043.0,0.0035,381.0
6.891884116360741,1056.0,0.003,600.0
6.981389104884906,1074.0,0.0029,848.0
7.070894093409072,1090.0,0.0035,1106.0
7.160399081933237,1103.0,0.0035,1285.0
7.249904070457403,1116.0,0.0032,1309.0
7.339409058981569,1131.0,0.0029,1265.0
7.428914047505734,1148.0,0.0034,1109.0
7.5184190360299,1162.0,0.0036,841.0
7.607924024554065,1171.0,0.0033,627.0
7.697429013078231,1185.0,0.003,414.0
7.786934001602396,1199.0,0.0032,184.0
7.8764389901265615,1215.0,0.0034,59.0
7.965943978650727,1223.0,0.0035,83.0
8.055448967174891,1234.0,0.0033,206.0
8.144953955699057,1249.0,0.0031,455.0
8.234458944223222,1268.0,0.0034,728.0
8.323963932747388,1280.0,0.0036,963.0
8.413468921271553,1293.0,0.0033,1181.0
8.502973909795719,1308.0,0.0031,1283.0
8.592478898319886,1328.0,0.0032,1523.0
8.681983886844051,1343.0,0.0035,1255.0
8.771488875368217,1351.0,0.0031,1034.0
8.860993863892382,1363.0,0.0032,784.0
8.950498852416548,1379.0,0.0033,525.0
9.040003840940713,1393.0,0.0035,249.0
9.129508829464879,1404.0,0.0035,84.0
9.219013817989044,1414.0,0.0032,51.0
9.30851880651321,1426.0,0.0031,181.0
9.398023795037375,1446.0,0.0034,466.0
9.48752878356154,1458.0,0.0035,721.0
9.577033772085706,1472.0,0.0034,950.0
9.666538760609871,1487.0,0.0032,1172.0
9.756043749134037,1505.0,0.0033,1284.0
9.845548737658202,1521.0,0.0035,1279.0
9.935053726182367,1531.0,0.0035,1206.0
10.024558714706533,1543.0,0.0031,967.0
10.114063703230698,1560.0,0.003,686.0
10.203568691754864,1575.0,0.0034,409.0
10.29307368027903,1585.0,0.0034,196.0
10.382578668803195,1595.0,0.0032,71.0
10.47208365732736,1608.0,0.0029,73.0
10.561588645851526,1624.0,0.0033,254.0
10.651093634375691,1642.0,0.0035,499.0
10.740598622899856,1649.0,0.0034,729.0
10.830103611424022,1638.0,0.0032,963.0
10.919608599948187,1629.0,0.0031,1210.0
11.009113588472353,1619.0,0.0035,1293.0
11.098618576996518,1600.0,0.0035,1295.0
11.188123565520684,1586.0,0.0031,1193.0
11.277628554044849,1573.0,0.0031,914.0
11.367133542569015,1562.0,0.0036,613.0
11.45663853109318,1542.0,0.0034,356.0
11.546143519617345,1525.0,0.0033,159.0
11.63564850814151,1515.0,0.0032,58.0
11.725153496665676,1501.0,0.0034,116.0
11.814658485189842,1483.0,0.0036,326.0
11.904163473714007,1467.0,0.0035,557.0
11.993668462238173,1453.0,0.0031,794.0
12.083173450762338,1443.0,0.0033,1059.0
12.172678439286504,1432.0,0.0034,1358.0
12.262183427810669,1418.0,0.0036,1651.0
12.351688416334834,1401.0,0.0032,1403.0
12.441193404859,1389.0,0.0031,1104.0
12.530698393383165,1377.0,0.0035,814.0
12.62020338190733,1362.0,0.0035,723.0
12.709708370431496,1344.0,0.0034,783.0
12.799213358955662,1330.0,0.0033,877.0
12.888718347479827,1318.0,0.0033,1049.0
12.978223336003992,1304.0,0.0036,1340.0
13.067728324528158,1285.0,0.0036,1612.0
13.157233313052323,1271.0,0.0032,1876.0
13.246738301576489,1264.0,0.0032,1983.0
13.336243290100654,1253.0,0.0035,1943.0
13.42574827862482,1235.0,0.0036,1785.0
13.515253267148985,1221.0,0.0032,1541.0
13.60475825567315,1206.0,0.0031,1256.0
13.694263244197316,1196.0,0.0035,1000.0
13.783768232721481,1181.0,0.0035,964.0
13.873273221245647,1164.0,0.0033,958.0
13.962778209769812,1148.0,0.0033,971.0
14.052283198293978,1138.0,0.0034,1080.0
