Time (s),Channel 1 (mV),Channel 2 (mV),Channel 3 (mV)
0.06322939999517985,-0.0005185379999999989,3.441,11.89
0.10835409999708645,-0.0005185379999999989,3.441,11.89
0.15312449997873046,-0.0005185379999999989,3.441,11.89
0.1986787999921944,-0.0005185379999999989,3.441,11.89
0.24366109998663887,-0.0008741100000000113,3.441,11.89
0.2890029999834951,-0.0006963239999999982,3.441,11.89
0.33383379998849705,-0.0005185379999999989,3.441,11.89
0.3784803999878932,-0.0006963239999999982,3.441,11.89
0.4234328999882564,-0.0005185379999999989,3.441,11.89
0.514543400000548,-0.0005185379999999989,3.441,11.89
0.5587278000020888,-0.0006963239999999982,3.441,11.89
0.6046507999999449,-0.0005185379999999989,3.441,11.89
0.6485474999935832,-0.0008741100000000113,3.441,11.89
0.6935617999988608,-0.0006963239999999982,3.441,11.89
0.7390031999966595,-0.0003407520000000136,3.441,11.89
0.7841422999917995,-0.0003407520000000136,3.441,11.89
0.8291870999964885,-0.0008741100000000113,3.441,11.89
0.8739884999813512,-0.0006963239999999982,3.441,11.89
0.9645784999884199,-0.0006963239999999982,3.441,11.89
1.0086727000016253,-0.0005185379999999989,3.441,11.89
1.0533090999815613,0.029882867999999993,303.5082,11.89
1.099901499983389,0.02081578199999999,302.5146,11.89
1.1443252000026405,0.021349140000000003,303.5082,14.866
1.1892856999766082,0.021349140000000003,304.5018,15.858
1.2336660999862943,0.022238069999999985,304.5018,23.794
1.2799225999915507,0.023482571999999993,304.5018,30.738
1.3238326999999117,0.023660357999999992,303.5082,29.746000000000002
1.414981199981412,0.024727074,304.5018,38.674
1.4587727999896742,0.024904859999999987,305.49539999999996,38.674
1.5037823999882676,0.025793789999999997,304.5018,45.618
1.5499582999909762,0.026504933999999994,304.5018,45.618
1.5937242999789305,0.02739386399999999,304.5018,53.554
1.6391472999821417,0.02739386399999999,304.5018,53.554
1.6844659999769647,0.028993937999999997,303.5082,61.49
1.7294816999929026,0.029882867999999993,304.5018,69.426
1.7738869999884628,0.03041622599999999,304.5018,68.434
1.8651178999862168,0.031482942,304.5018,76.37
1.9090921999886632,0.031838514,303.5082,75.378
1.9541834999981802,0.032905229999999994,303.5082,84.306
1.9996014999924228,0.032905229999999994,305.49539999999996,83.31400000000001
2.0444718999788165,0.033794160000000004,304.5018,91.25
2.0891836999799125,0.034149732,303.5082,91.25
2.1346216999809258,0.035216448,304.5018,99.18599999999999
2.179682199988747,0.03646094999999999,304.5018,106.13
2.223679299990181,0.03663873599999999,304.5018,106.13
2.3155039999983273,0.03663873599999999,303.5082,106.13
2.3593678000033833,0.03734987999999999,305.49539999999996,113.074
2.4042983999825083,0.037527666,303.5082,114.066
2.449139499978628,0.038772167999999996,304.5018,122.002
2.4948024999757763,0.03859438199999998,303.5082,122.002
2.5400182000012137,0.03948331199999999,304.5018,128.946
2.5841249999939464,0.03948331199999999,304.5018,128.946
2.62912579998374,0.040194456,304.5018,136.882
2.674434199987445,0.040194456,304.5018,136.882
2.765092599991476,0.040550028,304.5018,143.82600000000002
2.8101069999975152,0.040727814,303.5082,143.82600000000002
2.854698899987852,0.041261171999999985,304.5018,152.75400000000002
2.8995842000003904,0.041083386,303.5082,151.762
2.944467799999984,0.04161674399999998,304.5018,159.69799999999998
2.989904899994144,0.041438958,304.5018,159.69799999999998
3.0343667999841273,0.041794529999999996,303.5082,166.642
3.0797672999906354,0.041972315999999996,303.5082,173.586
3.124764399981359,0.042150101999999995,304.5018,174.57799999999997
