Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV)
0.031147199973929673,-0.0008741100000000113,519.1194,-128.73386699999992
0.07598419999703765,-0.0010518960000000105,519.1194,-128.73386699999992
0.12087049998808652,-0.0010518960000000105,518.1258,-126.7450061999998
0.1659358000033535,-0.0006963239999999982,518.1258,-128.73386699999992
0.2113111999933608,-0.0008741100000000113,519.1194,-124.75614539999992
0.25645729998359457,-0.0010518960000000105,519.1194,-126.7450061999998
0.3009306999738328,-0.0010518960000000105,520.113,-126.7450061999998
0.3458045999868773,-0.0006963239999999982,519.1194,-124.75614539999992
0.43566989997634664,-0.0010518960000000105,519.1194,-124.75614539999992
0.4806690000114031,-0.0008741100000000113,519.1194,-128.73386699999992
0.525836699991487,-0.0008741100000000113,520.113,-130.72272780000003
0.570808999997098,-0.0008741100000000113,519.1194,-128.73386699999992
0.6189155000029132,-0.0008741100000000113,520.113,-128.73386699999992
0.6613251999951899,-0.0008741100000000113,521.1066000000001,-128.73386699999992
0.7058659999747761,-0.0006963239999999982,520.113,-124.75614539999992
0.750788300007116,-0.0010518960000000105,520.113,-126.7450061999998
0.7961936999927275,-0.0010518960000000105,520.113,-126.7450061999998
0.8864855999709107,-0.0010518960000000105,520.113,-124.75614539999992
0.9316007000161335,-0.0008741100000000113,520.113,-128.73386699999992
0.9761977000162005,-0.0008741100000000113,520.113,-130.72272780000003
1.0213014999753796,-0.0010518960000000105,520.113,-126.7450061999998
1.065981500025373,-0.0006963239999999982,520.113,-128.73386699999992
1.111151000019163,-0.0006963239999999982,521.1066000000001,-128.73386699999992
1.156155199976638,-0.0003407520000000136,521.1066000000001,-128.73386699999992
1.20102149999002,-0.0008741100000000113,522.1002000000001,-126.7450061999998
1.2465839000069536,-0.0008741100000000113,522.1002000000001,-128.73386699999992
1.3366138000274077,-0.0012296820000000236,522.1002000000001,-126.7450061999998
1.3809857000014745,-0.0008741100000000113,522.1002000000001,-124.75614539999992
1.4262659000232816,-0.0008741100000000113,521.1066000000001,-128.73386699999992
1.4718288999865763,-0.0006963239999999982,522.1002000000001,-126.7450061999998
1.5177311999723315,-0.0008741100000000113,522.1002000000001,-126.7450061999998
1.56207089999225,-0.0010518960000000105,522.1002000000001,-128.73386699999992
1.6070646999869496,-0.0006963239999999982,522.1002000000001,-126.7450061999998
1.6520831999951042,-0.0010518960000000105,522.1002000000001,-126.7450061999998
1.6965625999728218,-0.0012296820000000236,522.1002000000001,-128.73386699999992
1.7894080000114627,-0.0008741100000000113,523.0938000000001,-126.7450061999998
1.8311572999809869,-0.0008741100000000113,524.0874,-128.73386699999992
1.8763402000186034,-0.0010518960000000105,523.0938000000001,-124.75614539999992
1.921862700022757,-0.0010518960000000105,522.1002000000001,-128.73386699999992
1.9664945999975316,-0.0008741100000000113,523.0938000000001,-128.73386699999992
2.011708899983205,-0.0006963239999999982,524.0874,-126.7450061999998
2.0562655000248924,-0.0008741100000000113,524.0874,-126.7450061999998
2.101271599996835,-0.0005185379999999989,520.113,-128.73386699999992
2.1459572999738157,-0.0006963239999999982,524.0874,-126.7450061999998
2.2376454999903217,-0.0010518960000000105,524.0874,-122.76728460000004
2.280902199971024,-0.0010518960000000105,524.0874,-128.73386699999992
2.3260996000026353,-0.0006963239999999982,524.0874,-126.7450061999998
2.371429699996952,-0.0010518960000000105,524.0874,-124.75614539999992
2.416796899982728,-0.0012296820000000236,524.0874,-126.7450061999998
2.460722799994983,-0.0008741100000000113,524.0874,-124.75614539999992
2.5057735000154935,-0.0008741100000000113,525.081,-128.73386699999992
2.5541296000010334,-0.0008741100000000113,525.081,-126.7450061999998
2.5968550000106916,-0.0008741100000000113,525.081,-126.7450061999998
2.6883574000094086,-0.0006963239999999982,525.081,-128.73386699999992
2.731143400014844,-0.0008741100000000113,525.081,-128.73386699999992
2.776927499973681,-0.0008741100000000113,524.0874,-126.7450061999998
2.8210092000081204,-0.0008741100000000113,525.081,-126.7450061999998
2.8675016000051983,-0.0008741100000000113,525.081,-124.75614539999992
2.9121177999768406,-0.0010518960000000105,526.0746,-126.7450061999998
2.955905399983749,-0.0005185379999999989,525.081,-128.73386699999992
3.001366999989841,-0.0006963239999999982,526.0746,-128.73386699999992
3.0464078999939375,-0.0010518960000000105,526.0746,-130.72272780000003
3.136917900003027,-0.0008741100000000113,526.0746,-128.73386699999992
3.181345099990722,-0.0005185379999999989,526.0746,-130.72272780000003
3.2260786999831907,-0.0010518960000000105,526.0746,-128.73386699999992
3.2722450000001118,-0.0010518960000000105,527.0682,-126.7450061999998
3.3167357000056654,-0.0008741100000000113,525.081,-128.73386699999992
3.363414500025101,-0.0010518960000000105,527.0682,-128.73386699999992
3.4063292000209913,-0.0008741100000000113,527.0682,-128.73386699999992
3.451448599982541,-0.0008741100000000113,527.0682,-126.7450061999998
3.496870699978899,-0.0008741100000000113,527.0682,-126.7450061999998
3.5861007000203244,-0.0008741100000000113,527.0682,-128.73386699999992
3.630757100007031,-0.0008741100000000113,527.0682,-130.72272780000003
3.675835400004871,-0.0006963239999999982,528.0618000000001,-126.7450061999998
3.7215924999909475,-0.0006963239999999982,526.0746,-128.73386699999992
3.7689913000212982,-0.0008741100000000113,527.0682,-126.7450061999998
3.8113862000172958,-0.0006963239999999982,527.0682,-128.73386699999992
3.8567603999981657,-0.0008741100000000113,527.0682,-124.75614539999992
3.9016858999966644,-0.0006963239999999982,528.0618000000001,-128.73386699999992
3.946122599998489,-0.0010518960000000105,528.0618000000001,-128.73386699999992
