Time (s),Channel 1 (mV),Channel 2 (mV),Channel 3 (mV),Channel 1 (mV)
5.2264267,-0.0027,302.5146,237.074,-0.0027
5.2714561,-0.0024,303.5082,235.09,-0.0024
5.3168396,-0.0022,303.5082,235.09,-0.0022
5.3619721,-0.0019,302.5146,243.026,-0.0019
5.4068384,-0.0018,302.5146,243.026,-0.0018
5.4973542,-0.0013,302.5146,249.97,-0.0013
5.5413349,-0.0011,301.521,249.97,-0.0011
5.5870634,-0.0011,302.5146,249.97,-0.0011
5.6320159,-0.0007,302.5146,258.898,-0.0007
5.676597,-0.0004,302.5146,257.906,-0.0004
5.7220264,-0.0005,301.521,257.906,-0.0005
5.7665953,-0.0001,302.5146,265.842,-0.0001
5.8113612,0.0003,303.5082,265.842,0.0003
5.8566143,0.0007,302.5146,272.786,0.0007
5.9471471,0.0011,302.5146,271.794,0.0011
5.9919668,0.001,302.5146,272.786,0.001
6.082325,0.001,301.521,272.786,0.001
6.0844743,0.0014,302.5146,280.722,0.0014
6.1267507,0.0017,302.5146,280.722,0.0017
6.1725299,0.0017,302.5146,280.722,0.0017
6.2165863,0.0023,302.5146,288.658,0.0023
6.2620513,0.0028,302.5146,288.658,0.0028
6.307556,0.0033,301.521,296.594,0.0033
6.3975798,0.0037,302.5146,294.61,0.0037
6.4417261,0.0038,302.5146,295.602,0.0038
6.4862942,0.0043,302.5146,303.538,0.0043
6.5314144,0.0047,302.5146,303.538,0.0047
6.5766143,0.0047,302.5146,304.53,0.0047
6.6212616,0.0053,302.5146,311.474,0.0053
6.6664558,0.0057,302.5146,310.482,0.0057
6.7126079,0.0063,302.5146,318.418,0.0063
6.7570152,0.007,302.5146,318.418,0.007
6.8485197,0.0069,302.5146,318.418,0.0069
6.8922828,0.0075,302.5146,325.362,0.0075
6.9369632,0.008,302.5146,325.362,0.008
6.9816026,0.0079,302.5146,325.362,0.0079
7.0265911,0.0087,302.5146,333.298,0.0087
7.071617,0.0092,302.5146,333.298,0.0092
7.1165115,0.0092,302.5146,334.29,0.0092
7.161344,0.01,302.5146,341.234,0.01
7.2071048,0.0106,301.521,341.234,0.0106
7.297182,0.0114,301.521,349.17,0.0114
7.3417525,0.012,303.5082,349.17,0.012
7.387974,0.012,301.521,349.17,0.012
7.4312534,0.0128,301.521,356.114,0.0128
7.4773243,0.0134,302.5146,357.106,0.0134
7.5672631,0.0135,302.5146,357.106,0.0135
7.5839801,0.0142,302.5146,364.05,0.0142
7.6111422,0.0148,301.521,364.05,0.0148
7.6569225,0.0158,302.5146,370.994,0.0158
7.7478431,0.0165,302.5146,371.986,0.0165
7.7917584,0.0166,303.5082,371.986,0.0166
7.8370313,0.0174,301.521,379.922,0.0174
7.8818534,0.0182,302.5146,379.922,0.0182
7.9276107,0.0182,302.5146,379.922,0.0182
7.9718493,0.0191,302.5146,386.866,0.0191
8.0166174,0.0199,302.5146,386.866,0.0199
8.0621035,0.0209,302.5146,394.802,0.0209
8.1062737,0.0216,302.5146,393.81,0.0216
8.1987113,0.0218,302.5146,394.802,0.0218
8.2415385,0.0227,302.5146,403.73,0.0227
8.2869979,0.0236,303.5082,401.746,0.0236
8.3317845,0.0237,303.5082,402.738,0.0237
8.3763355,0.0245,301.521,409.682,0.0245
8.4215939,0.0254,302.5146,409.682,0.0254
8.5122434,0.0254,301.521,410.674,0.0254
8.5564753,0.0265,302.5146,417.618,0.0265
8.57332,0.0274,301.521,417.618,0.0274
8.6475047,0.0285,302.5146,424.562,0.0285
8.6914413,0.0294,302.5146,425.554,0.0294
8.737093,0.0295,302.5146,425.554,0.0295
8.781619,0.0305,302.5146,433.49,0.0305
8.8263503,0.0316,302.5146,432.498,0.0316
8.8720531,0.0316,302.5146,432.498,0.0316
8.9165275,0.0328,303.5082,440.434,0.0328
8.9617191,0.0337,303.5082,440.434,0.0337
9.0080791,0.0349,303.5082,446.386,0.0349
9.0973834,0.0359,303.5082,448.37,0.0359
9.1418107,0.036,303.5082,446.386,0.036
9.1869192,0.0372,303.5082,456.306,0.0372
9.231552,0.0383,302.5146,456.306,0.0383
9.2778989,0.0384,302.5146,456.306,0.0384
9.3214881,0.0405,304.5018,463.25,0.0405
9.367252,0.0429,303.5082,464.242,0.0429
9.412252,0.044,303.5082,471.186,0.044
9.4569204,0.0449,304.5018,471.186,0.0449
9.5483088,0.0451,304.5018,470.194,0.0451
9.5913152,0.0461,304.5018,479.122,0.0461
9.6363365,0.0471,304.5018,478.13,0.0471
9.6818654,0.0471,304.5018,478.13,0.0471
9.7264167,0.0482,303.5082,486.066,0.0482
9.7712539,0.0491,304.5018,485.074,0.0491
9.8169638,0.0491,304.5018,486.066,0.0491
9.8616949,0.0502,304.5018,494.002,0.0502
9.9068177,0.0511,303.5082,494.002,0.0511
9.9971706,0.052,304.5018,500.946,0.052
10.0417524,0.0531,304.5018,500.946,0.0531
10.0875633,0.0531,303.5082,499.954,0.0531
10.1313177,0.054,304.5018,507.89,0.054
10.1766789,0.0551,304.5018,507.89,0.0551
10.2218576,0.0551,303.5082,508.882,0.0551
10.2665731,0.0561,303.5082,515.826,0.0561
10.3114198,0.057,303.5082,514.834,0.057
10.3568235,0.058,304.5018,524.754,0.058
10.447506,0.0587,304.5018,523.762,0.0587
10.4920871,0.0587,304.5018,523.762,0.0587
10.5363468,0.0596,303.5082,530.706,0.0596
10.5817458,0.0605,304.5018,530.706,0.0605
10.6264798,0.0604,304.5018,529.714,0.0604
10.6713474,0.0613,303.5082,538.642,0.0613
10.7174192,0.062,303.5082,538.642,0.062
10.7620184,0.0627,302.5146,547.57,0.0627
10.8068663,0.0636,303.5082,546.578,0.0636
10.8982851,0.0635,303.5082,545.586,0.0635
10.9457199,0.0641,304.5018,554.514,0.0641
10.9868707,0.0648,304.5018,553.522,0.0648
11.0319354,0.0647,303.5082,553.522,0.0647
11.0779848,0.0644,303.5082,555.506,0.0644
11.1212994,0.065,304.5018,563.442,0.065
11.1663753,0.065,305.4954,561.458,0.065
11.2115338,0.065,304.5018,570.386,0.065
11.2569886,0.065,302.5146,569.394,0.065
11.3481593,0.065,303.5082,568.402,0.065
11.3921177,0.065,303.5082,577.33,0.065
11.4363931,0.065,304.5018,577.33,0.065
11.4817979,0.065,304.5018,577.33,0.065
11.52646,0.065,303.5082,586.258,0.065
11.5714779,0.065,303.5082,585.266,0.065
11.6170236,0.065,303.5082,585.266,0.065
11.6613813,0.065,304.5018,593.202,0.065
11.7069474,0.065,304.5018,592.21,0.065
11.7973177,0.065,303.5082,600.146,0.065
11.8419086,0.065,304.5018,600.146,0.065
11.8871468,0.065,303.5082,600.146,0.065
11.9317503,0.065,302.5146,607.09,0.065
11.9769407,0.065,304.5018,607.09,0.065
12.0222684,0.065,303.5082,607.09,0.065
12.0666199,0.065,304.5018,614.034,0.065
12.1121281,0.065,303.5082,613.042,0.065
12.2025389,0.065,304.5018,622.962,0.065
12.2468828,0.065,304.5018,621.97,0.065
12.2923525,0.065,304.5018,622.962,0.065
