Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV),
7052,-0.000696324,917.553,20.430693,50
7102,-0.000696324,909.6042,20.430693,50
7152,-0.000696324,916.5594,24.4084146,50
7202,-0.001051896,910.5978,20.430693,50
7252,-0.001051896,917.553,22.4195538,50
7302,-0.00087411,911.5914,22.4195538,50
7352,-0.000518538,917.553,22.4195538,50
7402,-0.000696324,913.5786,22.4195538,50
7452,-0.000518538,918.5466,22.4195538,50
7502,-0.000518538,913.5786,20.430693,50
7552,-0.00087411,920.5338,20.430693,50
7602,-0.00087411,910.5978,22.4195538,50
7652,-0.000696324,918.5466,22.4195538,50
7702,-0.000696324,914.5722,20.430693,50
7752,-0.00087411,921.5274,20.430693,50
7802,-0.000696324,915.5658,20.430693,50
7852,-0.00087411,920.5338,22.4195538,50
7902,-0.00087411,912.585,22.4195538,50
7952,-0.000696324,917.553,22.4195538,50
8002,-0.000518538,914.5722,22.4195538,50
8052,-0.000696324,919.5402,22.4195538,50
8102,-0.00087411,916.5594,20.430693,50
8152,-0.00087411,923.5146,22.4195538,50
8202,-0.00087411,915.5658,20.430693,50
8252,-0.001051896,918.5466,24.4084146,50
8302,-0.000696324,913.5786,22.4195538,50
8352,-0.000518538,921.5274,24.4084146,50
8402,-0.000696324,917.553,24.4084146,50
8452,-0.000518538,918.5466,22.4195538,50
8502,-0.000696324,914.5722,20.430693,50
8552,-0.001051896,920.5338,20.430693,50
8602,-0.000518538,915.5658,24.4084146,51
8653,-0.000696324,924.5082,22.4195538,50
8703,-0.000696324,918.5466,24.4084146,50
8753,-0.000696324,920.5338,22.4195538,50
8803,-0.00087411,919.5402,24.4084146,50
8853,-0.000696324,921.5274,22.4195538,50
8903,-0.00087411,914.5722,22.4195538,50
8953,-0.00087411,924.5082,20.430693,50
9003,-0.00087411,915.5658,20.430693,50
9053,-0.00087411,923.5146,22.4195538,50
9103,-0.000696324,919.5402,22.4195538,50
9153,-0.000696324,922.521,24.4084146,50
9203,-0.00087411,919.5402,22.4195538,50
9253,-0.00087411,923.5146,20.430693,50
9303,-0.000696324,918.5466,20.430693,50
9353,-0.00087411,921.5274,22.4195538,50
9403,-0.000696324,916.5594,22.4195538,50
9453,-0.000696324,924.5082,20.430693,50
9503,-0.000696324,918.5466,22.4195538,50
9553,-0.001051896,927.489,22.4195538,50
9603,-0.000696324,919.5402,22.4195538,50
9653,-0.00087411,925.5018,22.4195538,50
9703,-0.00087411,918.5466,22.4195538,50
9753,-0.000696324,925.5018,20.430693,50
9803,-0.000696324,915.5658,20.430693,50
9853,-0.000696324,923.5146,24.4084146,50
9903,-0.000518538,919.5402,20.430693,50
9953,-0.000696324,926.4954,24.4084146,50
10003,-0.00087411,917.553,22.4195538,50
10053,-0.000696324,927.489,22.4195538,50
10103,-0.00087411,919.5402,22.4195538,50
10153,-0.00087411,927.489,22.4195538,50
10203,-0.000696324,919.5402,22.4195538,50
10253,-0.000696324,927.489,22.4195538,50
10303,-0.00087411,918.5466,22.4195538,50
10353,-0.00087411,927.489,20.430693,50
10403,-0.000696324,918.5466,20.430693,50
10453,-0.000696324,927.489,20.430693,50
10503,-0.000518538,922.521,22.4195538,50
10553,-0.000696324,928.4826,24.4084146,50
10603,-0.000518538,923.5146,22.4195538,50
10653,-0.000696324,927.489,20.430693,50
10703,-0.000696324,919.5402,20.430693,50
10753,-0.00087411,929.4762,22.4195538,50
10803,-0.000696324,919.5402,24.4084146,50
10853,-0.000696324,926.4954,24.4084146,50
10903,-0.00087411,924.5082,22.4195538,50
10953,-0.000696324,930.4698,22.4195538,50
11003,-0.00087411,922.521,22.4195538,50
11053,-0.000696324,928.4826,22.4195538,50
11103,-0.000696324,922.521,22.4195538,50
11153,-0.00087411,930.4698,22.4195538,50
11203,-0.00087411,919.5402,20.430693,50
11253,-0.000696324,927.489,22.4195538,50
11303,-0.00087411,921.5274,22.4195538,50
11353,-0.00087411,929.4762,24.4084146,50
11403,-0.00087411,922.521,22.4195538,50
11453,-0.00087411,929.4762,22.4195538,50
11503,-0.000696324,923.5146,20.430693,50
11553,-0.00087411,927.489,20.430693,50
11603,-0.000518538,923.5146,24.4084146,50
11653,-0.001051896,929.4762,22.4195538,50
11703,-0.00087411,925.5018,22.4195538,50
11753,-0.00087411,928.4826,20.430693,51
11804,-0.000518538,920.5338,20.430693,50
11854,-0.000696324,927.489,20.430693,50
11904,-0.000696324,922.521,22.4195538,50
11954,-0.00087411,929.4762,22.4195538,50
12004,-0.000696324,925.5018,18.4418322,50
12054,-0.000696324,929.4762,22.4195538,50
12104,-0.00087411,925.5018,20.430693,50
12154,-0.000696324,933.4506,24.4084146,50
12204,-0.00087411,925.5018,22.4195538,50
12254,-0.000696324,932.457,22.4195538,50
12304,-0.000696324,928.4826,24.4084146,50
12354,-0.00087411,932.457,20.430693,50
12404,-0.000696324,927.489,24.4084146,50
12454,-0.000696324,933.4506,22.4195538,50
12504,-0.000696324,927.489,22.4195538,50
12554,-0.000696324,928.4826,22.4195538,50
12604,-0.000696324,925.5018,22.4195538,50
12654,-0.000518538,931.4634,22.4195538,50
12704,-0.000518538,929.4762,24.4084146,50
12754,-0.00087411,930.4698,22.4195538,50
12804,-0.000518538,927.489,22.4195538,50
12854,-0.000696324,931.4634,24.4084146,50
12904,-0.00087411,927.489,22.4195538,50
12954,-0.000696324,933.4506,22.4195538,50
13004,-0.000696324,926.4954,22.4195538,50
13054,-0.000696324,933.4506,22.4195538,50
13104,-0.000696324,925.5018,24.4084146,50
13154,-0.000696324,934.4442,20.430693,50
13204,-0.000696324,926.4954,22.4195538,50
13254,-0.00087411,930.4698,22.4195538,50
13304,-0.000696324,928.4826,22.4195538,50
13354,-0.00087411,933.4506,24.4084146,50
13404,-0.000518538,929.4762,22.4195538,50
13454,-0.000518538,933.4506,20.430693,50
13504,-0.000518538,928.4826,24.4084146,50
13554,-0.000696324,934.4442,18.4418322,50
13604,-0.000696324,927.489,20.430693,50
13654,-0.000518538,936.4314,22.4195538,50
13704,-0.00087411,929.4762,24.4084146,50
13754,-0.000696324,936.4314,20.430693,50
13804,-0.000696324,928.4826,22.4195538,50
13854,-0.00087411,935.4378,22.4195538,50
13904,-0.00087411,929.4762,24.4084146,50
13954,-0.000696324,935.4378,22.4195538,50
14004,-0.001051896,930.4698,22.4195538,50
14054,-0.000696324,935.4378,22.4195538,50
14104,-0.00087411,932.457,22.4195538,50
14154,-0.00087411,934.4442,24.4084146,50
14204,-0.001051896,930.4698,22.4195538,50
14254,-0.000696324,934.4442,20.430693,50
14304,-0.000696324,928.4826,20.430693,50
14354,-0.000696324,933.4506,20.430693,50
14404,-0.000696324,932.457,24.4084146,50
14454,-0.00087411,939.4122,24.4084146,50
14504,-0.000696324,931.4634,20.430693,50
14554,-0.00087411,932.457,22.4195538,50
14604,-0.00087411,928.4826,22.4195538,50
14654,-0.000518538,936.4314,20.430693,50
14704,-0.00087411,929.4762,22.4195538,50
14754,-0.00087411,936.4314,22.4195538,51
14805,-0.000518538,930.4698,22.4195538,49
14854,-0.001051896,939.4122,24.4084146,51
14905,-0.000696324,932.457,22.4195538,50
14955,-0.000696324,937.425,22.4195538,50
15005,-0.00087411,932.457,22.4195538,50
15055,-0.00087411,938.4186,18.4418322,50
15105,-0.000696324,931.4634,20.430693,50
15155,-0.000696324,938.4186,22.4195538,50
15205,-0.000518538,931.4634,20.430693,50
15255,-0.000696324,934.4442,18.4418322,50
15305,-0.00087411,934.4442,22.4195538,50
15355,-0.00087411,939.4122,22.4195538,50
15405,-0.00087411,931.4634,22.4195538,50
15455,-0.000696324,938.4186,22.4195538,50
15505,-0.000696324,933.4506,24.4084146,50
15555,-0.000696324,937.425,20.430693,50
15605,-0.000696324,934.4442,20.430693,50
15655,-0.000696324,936.4314,22.4195538,50
15705,-0.000518538,932.457,22.4195538,50
15755,-0.00087411,937.425,22.4195538,50
15805,-0.00087411,934.4442,22.4195538,50
15855,-0.00087411,936.4314,22.4195538,50
15905,-0.001051896,933.4506,22.4195538,50
15955,-0.000696324,940.4058,22.4195538,50
16005,-0.000518538,930.4698,22.4195538,50
16055,-0.00087411,939.4122,18.4418322,50
16105,-0.00087411,930.4698,20.430693,50
16155,-0.000696324,940.4058,22.4195538,50
16205,-0.000696324,932.457,22.4195538,50
16255,-0.00087411,941.3994,24.4084146,50
16305,-0.000340752,936.4314,22.4195538,50
16355,-0.000518538,941.3994,20.430693,50
16405,-0.000696324,932.457,22.4195538,50
16455,-0.000518538,940.4058,18.4418322,50
16505,-0.000696324,932.457,24.4084146,50
16555,-0.000518538,941.3994,22.4195538,50
16605,-0.00087411,933.4506,22.4195538,50
16655,-0.000696324,939.4122,18.4418322,50
16705,-0.00087411,931.4634,24.4084146,50
16755,-0.00087411,939.4122,20.430693,50
16805,-0.000696324,934.4442,20.430693,50
16855,-0.00087411,940.4058,20.430693,50
16905,-0.00087411,936.4314,22.4195538,50
16955,-0.00087411,940.4058,22.4195538,50
17005,-0.00087411,934.4442,22.4195538,50
17055,-0.000696324,942.393,24.4084146,50
17105,-0.00087411,937.425,22.4195538,50
17155,-0.00087411,943.3866,22.4195538,50
17205,-0.000518538,936.4314,24.4084146,50
17255,-0.000696324,940.4058,26.3972754,50
17305,-0.000696324,937.425,22.4195538,50
17355,-0.000696324,942.393,20.430693,50
17405,-0.000696324,935.4378,20.430693,50
17455,-0.00087411,942.393,24.4084146,50
17505,-0.000696324,937.425,20.430693,50
17555,-0.00087411,941.3994,22.4195538,50
17605,-0.000696324,939.4122,22.4195538,51
17656,-0.00087411,942.393,20.430693,49
17705,-0.00087411,935.4378,22.4195538,50
17755,-0.000696324,943.3866,20.430693,50
17805,-0.000696324,940.4058,24.4084146,50
17855,-0.00087411,940.4058,24.4084146,50
17905,-0.000696324,939.4122,22.4195538,51
17956,-0.000696324,940.4058,22.4195538,50
18006,-0.00087411,938.4186,22.4195538,50
18056,-0.000518538,943.3866,24.4084146,50
18106,-0.00087411,938.4186,22.4195538,50
18156,-0.00087411,941.3994,20.430693,50
18206,-0.000518538,940.4058,22.4195538,50
18256,-0.00087411,943.3866,20.430693,50
18306,-0.000696324,940.4058,20.430693,50
18356,-0.00087411,940.4058,20.430693,50
18406,-0.00087411,937.425,20.430693,50
18456,-0.001051896,942.393,22.4195538,50
18506,-0.000696324,938.4186,20.430693,50
18556,-0.000696324,944.3802,20.430693,50
18606,-0.000696324,939.4122,22.4195538,50
18656,-0.000518538,942.393,20.430693,50
18706,-0.000518538,939.4122,22.4195538,50
18756,-0.000696324,943.3866,22.4195538,50
18806,-0.00087411,939.4122,22.4195538,50
18856,-0.000696324,941.3994,20.430693,50
18906,-0.00087411,939.4122,24.4084146,50
18956,-0.000518538,943.3866,24.4084146,50
19006,-0.000696324,936.4314,20.430693,50
19056,-0.000340752,944.3802,24.4084146,50
