Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV),Channel 1 (mA)
5.851,0.002503824,324.3738,865.696533,0.002503824
5.902,0.001437108,319.4058,877.6296978,0.001437108
5.952,0.001437108,323.3802,877.6296978,0.001437108
6.002,0.000725964,321.393,893.5405842,0.000725964
6.052,1.48E-05,321.393,909.4514706,1.48E-05
6.102,0.000725964,324.3738,909.4514706,0.000725964
6.152,1.48E-05,321.393,925.362357,1.48E-05
6.202,0.000192606,323.3802,925.362357,0.000192606
6.252,-0.000162966,321.393,941.2732434,-0.000162966
6.302,1.48E-05,322.3866,941.2732434,1.48E-05
6.352,-0.000162966,321.393,955.195269,-0.000162966
6.402,-0.000162966,330.3354,959.1729906,-0.000162966
6.452,1.48E-05,347.2266,973.0950162,1.48E-05
6.502,-0.000162966,365.1114,999.5837658,-0.000162966
6.552,-0.000162966,368.0922,999.5837658,-0.000162966
6.602,-0.000340752,382.9962,1012.997491,-0.000340752
6.652,-0.000162966,384.9834,1011.081244,-0.000162966
6.702,-0.000340752,402.8682,1030.243708,-0.000340752
6.752,-0.000162966,403.8618,1026.411215,-0.000162966
6.802,1.48E-05,419.7594,1041.741187,1.48E-05
6.852,-0.000340752,421.7466,1041.741187,-0.000340752
6.902,1.48E-05,438.6378,1055.154911,1.48E-05
6.952,-0.000340752,454.5354,1072.401129,-0.000340752
7.002,-0.000162966,456.5226,1072.401129,-0.000162966
7.052,-0.000340752,471.4266,1087.7311,-0.000340752
7.102,-0.000162966,473.4138,1089.647347,-0.000162966
7.152,-0.000162966,488.3178,1101.144825,-0.000162966
7.202,-0.000162966,490.305,1103.061071,-0.000162966
7.252,-0.000696324,505.209,1118.391043,-0.000696324
7.302,-0.000162966,505.209,1116.474796,-0.000162966
7.352,1.48E-05,519.1194,1131.804767,1.48E-05
7.402,-0.000162966,534.0234,1143.302246,-0.000162966
7.452,1.48E-05,534.0234,1147.134739,1.48E-05
7.502,-0.000340752,547.9338,1162.46471,-0.000340752
7.552,-0.000518538,548.9274,1162.46471,-0.000518538
7.602,-0.000340752,563.8314,1179.710927,-0.000340752
7.652,-0.000162966,562.8378,1179.710927,-0.000162966
7.702,-0.000340752,575.7546,1193.124652,-0.000340752
7.752,-0.000162966,574.761,1193.124652,-0.000162966
7.802,-0.000162966,588.6714,1206.538377,-0.000162966
7.852,-0.000162966,600.5946,1221.868348,-0.000162966
7.902,1.48E-05,599.601,1221.868348,1.48E-05
7.952,-0.000162966,613.5114,1239.114566,-0.000162966
8.002,1.48E-05,611.5242,1235.282073,1.48E-05
8.052,-0.000340752,624.441,1252.528291,-0.000340752
8.102,-0.000162966,623.4474,1252.528291,-0.000162966
8.153,-0.000162966,635.3706,1265.942015,-0.000162966
8.202,-0.000162966,634.377,1267.858262,-0.000162966
8.252,-0.000162966,645.3066,1281.271987,-0.000162966
8.302,-0.000162966,658.2234,1298.518204,-0.000162966
8.352,1.48E-05,655.2426,1294.685711,1.48E-05
8.402,-0.000162966,667.1658,1311.931929,-0.000162966
8.452,-0.000162966,665.1786,1310.015683,-0.000162966
8.503,-0.000340752,677.1018,1329.178147,-0.000340752
8.552,-0.000340752,676.1082,1329.178147,-0.000340752
8.603,-0.000162966,687.0378,1342.591871,-0.000162966
8.653,-0.000162966,686.0442,1346.424364,-0.000162966
8.703,-0.000162966,696.9738,1357.921843,-0.000162966
8.753,-0.000162966,707.9034,1373.251814,-0.000162966
8.802,-0.000162966,705.9162,1371.335567,-0.000162966
8.853,-0.000162966,703.929,1373.251814,-0.000162966
8.902,-0.000162966,701.9418,1371.335567,-0.000162966
8.953,-0.000340752,687.0378,1357.921843,-0.000340752
9.003,-0.000340752,687.0378,1359.838089,-0.000340752
9.053,-0.000340752,672.1338,1340.675625,-0.000340752
9.103,-0.000340752,672.1338,1342.591871,-0.000340752
9.153,1.48E-05,658.2234,1327.2619,1.48E-05
9.203,-0.000340752,646.3002,1311.931929,-0.000340752
9.253,1.48E-05,646.3002,1311.931929,1.48E-05
9.303,-0.000162966,634.377,1296.601958,-0.000162966
9.353,1.48E-05,636.3642,1298.518204,1.48E-05
9.403,-0.000340752,624.441,1285.104479,-0.000340752
9.453,1.48E-05,624.441,1281.271987,1.48E-05
9.503,-0.000162966,614.505,1265.942015,-0.000162966
9.553,1.48E-05,614.505,1267.858262,1.48E-05
9.603,-0.000340752,601.5882,1252.528291,-0.000340752
9.653,1.48E-05,589.665,1237.198319,1.48E-05
9.703,-0.000162966,592.6458,1237.198319,-0.000162966
9.753,-0.000340752,578.7354,1221.868348,-0.000340752
9.803,1.48E-05,578.7354,1219.952102,1.48E-05
9.853,-0.000162966,568.7994,1208.454623,-0.000162966
9.903,-0.000162966,569.793,1206.538377,-0.000162966
9.953,-0.000162966,557.8698,1191.208406,-0.000162966
10.003,-0.000340752,558.8634,1191.208406,-0.000340752
10.053,1.48E-05,545.9466,1175.878435,1.48E-05
10.103,-0.000340752,534.0234,1160.548463,-0.000340752
10.153,1.48E-05,536.0106,1160.548463,1.48E-05
10.203,0.000192606,523.0938,1145.218492,0.000192606
10.253,1.48E-05,525.081,1147.134739,1.48E-05
10.303,-0.000162966,526.0746,1145.218492,-0.000162966
10.353,0.000192606,514.1514,1129.888521,0.000192606
10.404,-0.000162966,517.1322,1129.888521,-0.000162966
10.453,-0.000340752,503.2218,1116.474796,-0.000340752
10.504,1.48E-05,489.3114,1099.228579,1.48E-05
10.553,1.48E-05,492.2922,1101.144825,1.48E-05
10.603,-0.000162966,479.3754,1087.7311,-0.000162966
10.653,-0.000162966,480.369,1085.814854,-0.000162966
10.703,1.48E-05,467.4522,1070.484883,1.48E-05
10.753,1.48E-05,468.4458,1070.484883,1.48E-05
10.803,-0.000162966,457.5162,1058.987404,-0.000162966
10.854,-0.000162966,458.5098,1058.987404,-0.000162966
10.903,-0.000696324,444.5994,1041.741187,-0.000696324
10.954,-0.000162966,431.6826,1026.411215,-0.000162966
11.003,-0.000340752,433.6698,1026.411215,-0.000340752
11.053,-0.000162966,419.7594,1011.081244,-0.000162966
11.103,1.48E-05,421.7466,1011.081244,1.48E-05
11.153,1.48E-05,409.8234,995.751273,1.48E-05
11.203,0.000192606,410.817,997.6675194,0.000192606
11.253,-0.000340752,396.9066,969.1172946,-0.000340752
11.304,0.000192606,397.9002,969.1172946,0.000192606
11.354,-0.000340752,383.9898,955.195269,-0.000340752
11.404,-0.000340752,372.0666,941.2732434,-0.000340752
11.453,1.48E-05,373.0602,939.2843826,1.48E-05
11.503,0.000192606,360.1434,923.3734962,0.000192606
11.553,0.000192606,362.1306,923.3734962,0.000192606
11.603,1.48E-05,348.2202,907.4626098,1.48E-05
11.653,0.000192606,348.2202,907.4626098,0.000192606
11.703,-0.000162966,334.3098,891.5517234,-0.000162966
11.754,-0.000162966,335.3034,895.529445,-0.000162966
11.804,-0.000162966,323.3802,877.6296978,-0.000162966
11.854,-0.000162966,321.393,863.7076722,-0.000162966
11.903,-0.000340752,320.3994,863.7076722,-0.000340752
11.954,1.48E-05,323.3802,845.807925,1.48E-05
12.003,0.000192606,324.3738,845.807925,0.000192606
12.054,-0.000162966,321.393,831.8858994,-0.000162966
12.103,-0.000162966,322.3866,833.8747602,-0.000162966
12.154,1.48E-05,323.3802,815.975013,1.48E-05
12.204,1.48E-05,323.3802,815.975013,1.48E-05
12.254,1.48E-05,321.393,800.0641266,1.48E-05
12.304,-0.000340752,319.4058,790.1198226,-0.000340752
12.354,1.48E-05,323.3802,786.142101,1.48E-05
12.404,-0.000162966,323.3802,772.2200754,-0.000162966
12.454,-0.000162966,324.3738,770.2312146,-0.000162966
12.504,0.000192606,323.3802,756.309189,0.000192606
12.554,-0.000340752,322.3866,758.2980498,-0.000340752
12.604,0.000192606,323.3802,738.4094418,0.000192606
12.654,1.48E-05,320.3994,738.4094418,1.48E-05
12.704,1.48E-05,322.3866,728.4651378,1.48E-05
12.754,0.000192606,324.3738,708.5765298,0.000192606
12.804,-0.000162966,321.393,710.5653906,-0.000162966
12.854,1.48E-05,324.3738,712.5542514,1.48E-05
12.904,-0.000162966,324.3738,694.6545042,-0.000162966
12.954,-0.000340752,321.393,696.643365,-0.000340752
13.004,-0.000340752,321.393,680.7324786,-0.000340752
13.054,0.000192606,324.3738,678.7436178,0.000192606
13.104,0.000192606,322.3866,660.8438706,0.000192606
13.154,-0.000162966,323.3802,662.8327314,-0.000162966
13.204,-0.000162966,322.3866,648.9107058,-0.000162966
13.254,0.000192606,323.3802,632.9998194,0.000192606
13.304,-0.000162966,323.3802,634.9886802,-0.000162966
13.354,1.48E-05,322.3866,617.088933,1.48E-05
13.404,-0.000340752,319.4058,619.0777938,-0.000340752
13.454,0.000370392,322.3866,601.1780466,0.000370392
13.504,0.000370392,324.3738,601.1780466,0.000370392
13.554,1.48E-05,322.3866,589.2448818,1.48E-05
13.604,0.000192606,324.3738,585.2671602,0.000192606
13.654,-0.000162966,321.393,575.3228562,-0.000162966
13.704,-0.000162966,320.3994,557.423109,-0.000162966
13.754,0.000192606,323.3802,557.423109,0.000192606
13.804,1.48E-05,321.393,541.5122226,1.48E-05
13.854,0.000370392,323.3802,539.5233618,0.000370392
13.904,0.000192606,321.393,525.6013362,0.000192606
13.954,1.48E-05,322.3866,527.590197,1.48E-05
14.004,1.48E-05,322.3866,511.6793106,1.48E-05
14.054,-0.000340752,323.3802,513.6681714,-0.000340752
14.104,1.48E-05,323.3802,499.7461458,1.48E-05
14.154,0.000192606,323.3802,485.8241202,0.000192606
14.204,-0.000162966,320.3994,485.8241202,-0.000162966
14.254,0.000192606,323.3802,469.9132338,0.000192606
14.304,0.000192606,320.3994,469.9132338,0.000192606
14.354,1.48E-05,322.3866,455.9912082,1.48E-05
14.404,1.48E-05,322.3866,455.9912082,1.48E-05
14.455,1.48E-05,321.393,442.0691826,1.48E-05
14.504,1.48E-05,322.3866,438.091461,1.48E-05
14.554,1.48E-05,321.393,424.1694354,1.48E-05
14.604,0.000370392,325.3674,410.2474098,0.000370392
14.654,1.48E-05,323.3802,412.2362706,1.48E-05
14.704,0.000192606,323.3802,396.3253842,0.000192606
14.754,0.000192606,322.3866,396.3253842,0.000192606
14.805,0.000370392,324.3738,380.4144978,0.000370392
14.854,1.48E-05,323.3802,380.4144978,1.48E-05
14.905,0.000192606,321.393,366.4924722,0.000192606
14.955,0.000548178,323.3802,362.5147506,0.000548178
15.005,-0.000162966,321.393,352.5704466,-0.000162966
15.055,0.000192606,322.3866,334.6706994,0.000192606
15.104,0.000370392,322.3866,334.6706994,0.000370392
15.155,0.000370392,324.3738,320.7486738,0.000370392
15.204,0.000192606,322.3866,320.7486738,0.000192606
15.255,0.000192606,321.393,304.8377874,0.000192606
15.305,0.000370392,323.3802,304.8377874,0.000370392
15.355,-0.000340752,320.3994,304.8377874,-0.000340752
15.405,0.000548178,322.3866,288.926901,0.000548178
15.455,0.000370392,324.3738,276.9937362,0.000370392
15.505,1.48E-05,323.3802,275.0048754,1.48E-05
15.555,0.000192606,321.393,259.093989,0.000192606
15.605,0.000192606,320.3994,259.093989,0.000192606
15.655,1.48E-05,321.393,245.1719634,1.48E-05
15.705,0.000192606,321.393,245.1719634,0.000192606
15.755,0.000192606,322.3866,229.261077,0.000192606
15.805,0.000370392,325.3674,229.261077,0.000370392
15.855,0.000370392,320.3994,213.3501906,0.000370392
15.905,0.000370392,323.3802,199.428165,0.000370392
15.955,0.000725964,322.3866,199.428165,0.000725964
16.005,0.00090375,323.3802,185.5061394,0.00090375
16.055,0.000548178,321.393,185.5061394,0.000548178
16.105,0.00090375,323.3802,171.5841138,0.00090375
16.155,0.00090375,322.3866,169.595253,0.00090375
16.205,0.001081536,323.3802,155.6732274,0.001081536
16.255,0.000548178,323.3802,155.6732274,0.000548178
16.305,0.00090375,321.393,139.762341,0.00090375
16.355,0.000548178,322.3866,123.8514546,0.000548178
16.405,0.000725964,321.393,123.8514546,0.000725964
16.455,0.000548178,322.3866,109.929429,0.000548178
16.505,0.000548178,323.3802,109.929429,0.000548178
16.555,0.000548178,322.3866,94.0185426,0.000548178
16.605,0.000370392,319.4058,94.0185426,0.000370392
16.655,0.000548178,321.393,80.096517,0.000548178
16.705,0.000548178,324.3738,78.1076562,0.000548178
16.755,0.000370392,323.3802,66.1744914,0.000370392
16.805,1.48E-05,321.393,52.2524658,1.48E-05
16.855,0.000192606,321.393,50.263605,0.000192606
16.905,0.000192606,321.393,34.3527186,0.000192606
16.955,0.000192606,324.3738,36.3415794,0.000192606
17.005,0.000548178,325.3674,22.4195538,0.000548178
17.055,0.000192606,321.393,20.430693,0.000192606
17.105,1.48E-05,323.3802,4.5198066,1.48E-05
17.155,-0.000162966,319.4058,4.5198066,-0.000162966
17.205,1.48E-05,321.393,4.5198066,1.48E-05
17.255,1.48E-05,324.3738,6.5086674,1.48E-05
17.305,0.000192606,322.3866,4.5198066,0.000192606
17.355,1.48E-05,322.3866,4.5198066,1.48E-05
17.405,1.48E-05,323.3802,4.5198066,1.48E-05
17.455,-0.000162966,322.3866,6.5086674,-0.000162966
17.505,0.000192606,321.393,4.5198066,0.000192606
17.555,1.48E-05,322.3866,6.5086674,1.48E-05
17.605,0.000192606,324.3738,6.5086674,0.000192606
17.655,1.48E-05,322.3866,4.5198066,1.48E-05
17.705,1.48E-05,321.393,6.5086674,1.48E-05
17.755,-0.000340752,320.3994,6.5086674,-0.000340752
17.805,1.48E-05,325.3674,6.5086674,1.48E-05
17.855,1.48E-05,321.393,4.5198066,1.48E-05
17.905,-0.000162966,323.3802,6.5086674,-0.000162966
17.955,1.48E-05,321.393,6.5086674,1.48E-05
18.005,1.48E-05,322.3866,6.5086674,1.48E-05
18.056,-0.000340752,318.4122,4.5198066,-0.000340752
18.106,-0.000340752,321.393,6.5086674,-0.000340752
18.155,1.48E-05,323.3802,4.5198066,1.48E-05
18.205,1.48E-05,322.3866,6.5086674,1.48E-05
18.255,1.48E-05,322.3866,4.5198066,1.48E-05
18.305,0.000192606,323.3802,6.5086674,0.000192606
18.355,0.000192606,321.393,4.5198066,0.000192606
18.406,-0.000162966,322.3866,4.5198066,-0.000162966
18.456,-0.000340752,320.3994,6.5086674,-0.000340752
18.506,1.48E-05,321.393,4.5198066,1.48E-05
18.556,-0.000162966,322.3866,6.5086674,-0.000162966
18.606,1.48E-05,321.393,4.5198066,1.48E-05
18.656,1.48E-05,322.3866,4.5198066,1.48E-05
18.706,1.48E-05,325.3674,6.5086674,1.48E-05
18.756,1.48E-05,322.3866,4.5198066,1.48E-05
18.806,1.48E-05,322.3866,4.5198066,1.48E-05
18.856,-0.000162966,319.4058,6.5086674,-0.000162966
18.906,1.48E-05,322.3866,4.5198066,1.48E-05
18.956,-0.000340752,319.4058,6.5086674,-0.000340752
19.006,-0.000162966,322.3866,4.5198066,-0.000162966
19.056,1.48E-05,323.3802,6.5086674,1.48E-05
19.106,1.48E-05,322.3866,6.5086674,1.48E-05
19.156,0.000192606,323.3802,6.5086674,0.000192606
19.206,1.48E-05,322.3866,4.5198066,1.48E-05
19.256,0.000192606,323.3802,6.5086674,0.000192606
19.306,1.48E-05,322.3866,4.5198066,1.48E-05
19.356,-0.000162966,320.3994,4.5198066,-0.000162966
19.406,-0.000162966,322.3866,4.5198066,-0.000162966
19.456,1.48E-05,322.3866,4.5198066,1.48E-05
19.506,0.000192606,322.3866,2.5309458,0.000192606
19.556,1.48E-05,323.3802,4.5198066,1.48E-05
19.606,1.48E-05,322.3866,4.5198066,1.48E-05
19.656,1.48E-05,322.3866,4.5198066,1.48E-05
19.706,-0.000162966,322.3866,4.5198066,-0.000162966
19.756,0.000192606,324.3738,6.5086674,0.000192606
19.806,0.000192606,323.3802,4.5198066,0.000192606
19.856,1.48E-05,323.3802,4.5198066,1.48E-05
19.906,-0.000162966,321.393,6.5086674,-0.000162966
19.956,0.000192606,323.3802,4.5198066,0.000192606
20.006,1.48E-05,324.3738,4.5198066,1.48E-05
20.056,-0.000162966,323.3802,8.4975282,-0.000162966
20.106,0.000192606,323.3802,4.5198066,0.000192606
20.156,-0.000162966,321.393,4.5198066,-0.000162966
20.206,0.000370392,325.3674,4.5198066,0.000370392
20.256,-0.000162966,322.3866,4.5198066,-0.000162966
20.306,0.000192606,322.3866,4.5198066,0.000192606
20.356,-0.000162966,323.3802,8.4975282,-0.000162966
