Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV)
0.0,0.006592901999999998,298.54019999999997,-140.6670317999999
0.009999999999990905,0.006770687999999997,296.553,-142.65589260000002
0.01999999999998181,0.006592901999999998,296.553,-142.65589260000002
0.030000000000001137,0.006592901999999998,295.5594,-144.6447533999999
0.03999999999999204,0.006592901999999998,298.54019999999997,-140.6670317999999
0.04999999999998295,0.006770687999999997,295.5594,-144.6447533999999
0.060000000000002274,0.006592901999999998,296.553,-140.6670317999999
0.06999999999999318,0.006770687999999997,295.5594,-144.6447533999999
0.07999999999998408,0.006770687999999997,296.553,-140.6670317999999
0.09000000000000341,0.006770687999999997,298.54019999999997,-142.65589260000002
0.09999999999999432,0.0064151159999999985,298.54019999999997,-140.6670317999999
0.10999999999998522,0.0064151159999999985,295.5594,-140.6670317999999
0.12000000000000455,0.006592901999999998,296.553,-142.65589260000002
0.12999999999999545,0.006948473999999996,296.553,-142.65589260000002
0.13999999999998636,0.006770687999999997,297.5466,-142.65589260000002
0.15000000000000568,0.006592901999999998,296.553,-142.65589260000002
0.1599999999999966,0.006592901999999998,296.553,-144.6447533999999
0.1699999999999875,0.006592901999999998,294.56579999999997,-142.65589260000002
0.18000000000000682,0.0064151159999999985,296.553,-140.6670317999999
0.18999999999999773,0.006592901999999998,293.5722,-144.6447533999999
0.19999999999998863,0.006770687999999997,296.553,-144.6447533999999
0.21000000000000796,0.006770687999999997,297.5466,-142.65589260000002
0.21999999999999886,0.0064151159999999985,294.56579999999997,-144.6447533999999
0.22999999999998977,0.0064151159999999985,294.56579999999997,-142.65589260000002
0.23999999999998067,0.0064151159999999985,294.56579999999997,-142.65589260000002
0.25,0.006770687999999997,296.553,-144.6447533999999
0.2599999999999909,0.0064151159999999985,292.5786,-142.65589260000002
0.2699999999999818,0.0064151159999999985,294.56579999999997,-142.65589260000002
0.28000000000000114,0.0064151159999999985,292.5786,-142.65589260000002
0.28999999999999204,0.006948473999999996,298.54019999999997,-142.65589260000002
0.29999999999998295,0.006592901999999998,296.553,-142.65589260000002
0.3100000000000023,0.006592901999999998,297.5466,-142.65589260000002
0.3199999999999932,0.006592901999999998,296.553,-144.6447533999999
0.3299999999999841,0.006592901999999998,296.553,-144.6447533999999
0.3400000000000034,0.006770687999999997,295.5594,-142.65589260000002
0.3499999999999943,0.0064151159999999985,295.5594,-142.65589260000002
0.3599999999999852,0.0064151159999999985,294.56579999999997,-140.6670317999999
0.37000000000000455,0.006592901999999998,294.56579999999997,-142.65589260000002
0.37999999999999545,0.006948473999999996,297.5466,-142.65589260000002
0.38999999999998636,0.0064151159999999985,293.5722,-144.6447533999999
0.4000000000000057,0.006592901999999998,292.5786,-144.6447533999999
0.4099999999999966,0.0064151159999999985,294.56579999999997,-142.65589260000002
0.4199999999999875,0.006592901999999998,297.5466,-140.6670317999999
0.4300000000000068,0.006592901999999998,296.553,-140.6670317999999
0.4410000000000025,0.006592901999999998,294.56579999999997,-144.6447533999999
0.44999999999998863,0.006770687999999997,293.5722,-144.6447533999999
0.4609999999999843,0.006770687999999997,297.5466,-142.65589260000002
0.47100000000000364,0.0064151159999999985,292.5786,-140.6670317999999
0.48099999999999454,0.006592901999999998,293.5722,-140.6670317999999
0.49099999999998545,0.006770687999999997,296.553,-144.6447533999999
0.5010000000000048,0.006770687999999997,295.5594,-142.65589260000002
0.5109999999999957,0.006948473999999996,297.5466,-144.6447533999999
0.5209999999999866,0.006592901999999998,294.56579999999997,-140.6670317999999
0.5310000000000059,0.006770687999999997,296.553,-142.65589260000002
0.5409999999999968,0.006770687999999997,298.54019999999997,-142.65589260000002
0.5509999999999877,0.006948473999999996,296.553,-142.65589260000002
0.561000000000007,0.006770687999999997,295.5594,-142.65589260000002
0.570999999999998,0.0064151159999999985,296.553,-140.6670317999999
0.5809999999999889,0.006592901999999998,297.5466,-142.65589260000002
0.5910000000000082,0.006592901999999998,294.56579999999997,-142.65589260000002
0.6009999999999991,0.006237329999999999,294.56579999999997,-142.65589260000002
0.61099999999999,0.006948473999999996,294.56579999999997,-144.6447533999999
0.6209999999999809,0.006770687999999997,293.5722,-144.6447533999999
0.6310000000000002,0.0064151159999999985,293.5722,-140.6670317999999
0.6409999999999911,0.006592901999999998,295.5594,-144.6447533999999
0.650999999999982,0.006592901999999998,296.553,-142.65589260000002
0.6610000000000014,0.006770687999999997,297.5466,-142.65589260000002
0.6709999999999923,0.0064151159999999985,294.56579999999997,-144.6447533999999
0.6809999999999832,0.006592901999999998,296.553,-140.6670317999999
0.6910000000000025,0.006770687999999997,297.5466,-144.6447533999999
0.7009999999999934,0.006592901999999998,296.553,-142.65589260000002
0.7109999999999843,0.006770687999999997,297.5466,-142.65589260000002
0.7210000000000036,0.0064151159999999985,295.5594,-140.6670317999999
0.7309999999999945,0.0064151159999999985,295.5594,-142.65589260000002
0.7409999999999854,0.0064151159999999985,290.59139999999996,-142.65589260000002
