Time,ADC_Value,Offset
0.0,356.45,0.0026
0.07128813500497855,361.33,0.0026
0.1425762700099571,366.21,0.0024
0.21386440501493564,371.09,0.0026
0.2851525400199142,375.98,0.0026
0.35644067502489274,380.86,0.0027
0.4277288100298713,385.74,0.0026
0.49901694503484983,390.62,0.0028
0.5703050800398284,395.51,0.0027
0.6415932150448069,400.39,0.0028
0.7128813500497855,405.27,0.0028
0.784169485054764,410.16,0.0028
0.8554576200597426,415.04,0.0029
0.9267457550647211,419.92,0.0031
0.9980338900696997,424.8,0.003
1.0693220250746782,429.69,0.0029
1.1406101600796568,434.57,0.0029
1.2118982950846353,439.45,0.0031
1.2831864300896139,444.34,0.003
1.3544745650945924,449.22,0.0033
1.425762700099571,454.1,0.0033
1.4970508351045495,458.98,0.0033
1.568338970109528,463.87,0.0034
1.6396271051145066,468.75,0.0034
1.7109152401194851,473.63,0.0035
1.7822033751244637,478.52,0.0036
1.8534915101294422,483.4,0.0036
1.9247796451344208,488.28,0.0037
1.9960677801393993,493.16,0.0038
2.067355915144378,498.05,0.004
2.1386440501493564,502.93,0.004
2.2099321851543348,507.81,0.0041
2.2812203201593135,512.7,0.0044
2.3525084551642923,517.58,0.0044
2.4237965901692706,522.46,0.0044
2.495084725174249,527.34,0.0048
2.5663728601792277,532.23,0.0048
2.6376609951842065,537.11,0.005
2.708949130189185,541.99,0.0051
2.780237265194163,546.88,0.0054
2.851525400199142,551.76,0.0054
2.9228135352041207,556.64,0.0056
2.994101670209099,561.52,0.0059
3.0653898052140773,566.41,0.0063
3.136677940219056,571.29,0.0062
3.207966075224035,576.17,0.0067
3.279254210229013,581.05,0.0067
3.3505423452339915,585.94,0.0071
3.4218304802389703,590.82,0.0073
3.493118615243949,595.7,0.0077
3.5644067502489274,600.59,0.008
3.6356948852539057,605.47,0.0082
3.7069830202588845,610.35,0.0085
3.7782711552638633,615.23,0.0087
3.8495592902688416,620.12,0.009
3.92084742527382,625.0,0.0097
3.9921355602787987,629.88,0.0097
4.0634236952837774,634.77,0.0104
4.134711830288756,639.65,0.0105
4.205999965293734,644.53,0.011
4.277288100298713,649.41,0.0115
4.348576235303692,654.3,0.0116
4.4198643703086695,659.18,0.0122
4.491152505313648,664.06,0.0128
4.562440640318627,668.95,0.0132
4.633728775323606,673.83,0.0138
4.705016910328585,678.71,0.0143
4.7763050453335625,683.59,0.0148
4.847593180338541,688.48,0.0154
4.91888131534352,693.36,0.0158
4.990169450348498,698.24,0.0164
5.061457585353477,703.12,0.017
5.132745720358455,708.01,0.0174
5.204033855363434,712.89,0.0181
5.275321990368413,717.77,0.0185
5.346610125373391,722.66,0.0194
5.41789826037837,727.54,0.0199
5.489186395383348,732.42,0.0204
5.560474530388326,737.3,0.0213
5.631762665393305,742.19,0.0218
5.703050800398284,747.07,0.0223
5.774338935403263,751.95,0.0232
5.845627070408241,756.84,0.0238
5.916915205413219,761.72,0.0244
5.988203340418198,766.6,0.0252
6.059491475423177,771.48,0.026
6.130779610428155,776.37,0.0267
6.202067745433133,781.25,0.0271
6.273355880438112,786.13,0.028
6.344644015443091,791.02,0.0286
6.41593215044807,795.9,0.0294
6.487220285453048,800.78,0.0304
6.558508420458026,805.66,0.0308
6.629796555463005,810.55,0.0316
6.701084690467983,815.43,0.0325
6.772372825472962,820.31,0.0332
6.843660960477941,825.2,0.0339
6.914949095482919,830.08,0.0348
6.986237230487898,834.96,0.0354
7.057525365492876,839.84,0.0364
7.128813500497855,844.73,0.037
7.2001016355028336,849.61,0.0379
7.271389770507811,854.49,0.0386
7.34267790551279,859.38,0.0394
7.413966040517769,864.26,0.0401
7.485254175522748,869.14,0.0411
7.5565423105277265,874.02,0.042
7.627830445532704,878.91,0.0425
7.699118580537683,883.79,0.0434
7.770406715542662,888.67,0.0442
7.84169485054764,893.55,0.0449
7.912982985552619,898.44,0.0456
7.984271120557597,903.32,0.0464
8.055559255562576,908.2,0.0473
