Time (s),Channel 1 (mA),Channel 2 (mV),Channel 3 (mV),Channel 1 (mA)
5.101,0.024549288,322.3866,740.3983026,0.024549288
5.152,0.022415856,323.3802,754.3203282,0.022415856
5.201,0.020282424,322.3866,754.3203282,0.020282424
5.252,0.018326778,322.3866,772.2200754,0.018326778
5.301,0.017082276,323.3802,770.2312146,0.017082276
5.352,0.01512663,322.3866,786.142101,0.01512663
5.402,0.013526556,322.3866,788.1309618,0.013526556
5.452,0.011748696,320.3994,800.0641266,0.011748696
5.502,0.009970836,324.3738,815.975013,0.009970836
5.551,0.009081906,324.3738,813.9861522,0.009081906
5.602,0.006770688,321.393,833.8747602,0.006770688
5.652,0.006415116,324.3738,831.8858994,0.006415116
5.702,0.004815042,323.3802,847.7967858,0.004815042
5.752,0.003926112,321.393,849.7856466,0.003926112
5.802,0.002859396,321.393,861.7188114,0.002859396
5.852,0.00268161,323.3802,863.7076722,0.00268161
5.902,0.001614894,322.3866,879.6185586,0.001614894
5.952,0.001081536,323.3802,891.5517234,0.001081536
6.002,0.00090375,322.3866,895.529445,0.00090375
6.052,0.000192606,323.3802,907.4626098,0.000192606
6.102,0.000548178,323.3802,909.4514706,0.000548178
6.152,0.000370392,322.3866,909.4514706,0.000370392
6.202,-0.000162966,319.4058,925.362357,-0.000162966
6.254,-0.000162966,322.3866,923.3734962,-0.000162966
6.302,-0.000162966,321.393,939.2843826,-0.000162966
6.353,-0.000340752,347.2266,959.1729906,-0.000340752
6.402,1.48E-05,350.2074,957.1841298,1.48E-05
6.452,-0.000340752,366.105,971.1061554,-0.000340752
6.502,0.000192606,368.0922,969.1172946,0.000192606
6.552,-0.000162966,385.977,995.751273,-0.000162966
6.602,-0.000162966,387.9642,999.5837658,-0.000162966
6.652,-0.000162966,402.8682,1011.081244,-0.000162966
6.704,-0.000162966,404.8554,1009.164998,-0.000162966
6.752,0.000192606,420.753,1024.494969,0.000192606
6.803,-0.000162966,435.657,1039.82494,-0.000162966
6.852,-0.000340752,436.6506,1039.82494,-0.000340752
6.902,-0.000162966,453.5418,1057.071158,-0.000162966
6.952,-0.000340752,455.529,1058.987404,-0.000340752
7.002,1.48E-05,469.4394,1068.568636,1.48E-05
7.052,0.000192606,469.4394,1070.484883,0.000192606
7.102,-0.000340752,485.337,1087.7311,-0.000340752
7.154,-0.000162966,485.337,1087.7311,-0.000162966
